Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-5.254;72.885;0.0;nan
2024-03-12 09:00:00;-4.786;80.988;0.0;213.661
2024-03-12 10:00:00;-2.934;80.743;0.0;396.679
2024-03-12 11:00:00;-1.021;75.372;0.0;551.572
2024-03-12 12:00:00;0.121;70.924;0.0;661.551
2024-03-12 13:00:00;0.938;70.095;0.0;717.516
2024-03-12 14:00:00;1.596;69.613;0.0;709.582
2024-03-12 15:00:00;2.114;69.341;0.0;643.617
2024-03-12 16:00:00;2.446;69.562;0.0;526.562
2024-03-12 17:00:00;0.636;70.27;0.0;366.333
2024-03-12 18:00:00;0.819;59.795;0.0;181.097
2024-03-12 19:00:00;0.031;56.222;0.0;31.598
2024-03-12 20:00:00;-1.548;60.195;0.0;0.0
2024-03-12 21:00:00;-3.017;65.892;0.0;0.0
2024-03-12 22:00:00;-4.4;71.576;0.0;0.0
2024-03-12 23:00:00;-5.399;73.153;0.0;0.0
2024-03-13 00:00:00;-6.172;71.863;0.0;0.0
2024-03-13 01:00:00;-6.864;72.351;0.0;0.0
2024-03-13 02:00:00;-7.467;74.21;0.0;0.0
2024-03-13 03:00:00;-7.816;74.006;0.0;0.0
2024-03-13 04:00:00;-8.03;73.534;0.0;0.0
2024-03-13 05:00:00;-8.375;74.239;0.0;0.0
2024-03-13 06:00:00;-8.812;77.814;0.0;0.0
2024-03-13 07:00:00;-8.8;79.45;0.0;0.0
2024-03-13 08:00:00;-9.057;90.59;0.0;48.452
2024-03-13 09:00:00;-7.0;93.006;0.0;218.127
2024-03-13 10:00:00;-4.869;89.491;0.0;398.471
2024-03-13 11:00:00;-3.3;84.896;0.0;536.257
2024-03-13 12:00:00;-1.635;79.326;0.0;511.781
2024-03-13 13:00:00;0.331;83.142;0.0;433.714
2024-03-13 14:00:00;1.091;87.223;0.0;335.21
2024-03-13 15:00:00;1.613;86.963;0.0;507.25
2024-03-13 16:00:00;2.371;82.329;0.0;381.219
2024-03-13 17:00:00;2.527;84.633;0.0;135.124
2024-03-13 18:00:00;2.393;83.135;0.0;85.566
2024-03-13 19:00:00;1.665;84.07;0.01;4.972
2024-03-13 20:00:00;0.87;85.522;0.0;0.0
2024-03-13 21:00:00;0.524;85.585;0.043;4.716
2024-03-13 22:00:00;-0.026;87.333;0.0;0.0
2024-03-13 23:00:00;-0.027;87.923;0.001;2.018
2024-03-14 00:00:00;-0.079;88.442;0.0;0.0
2024-03-14 01:00:00;-0.007;88.848;0.001;0.0
2024-03-14 02:00:00;0.095;89.045;0.003;0.0
2024-03-14 03:00:00;0.21;89.645;0.016;0.0
2024-03-14 04:00:00;0.024;90.069;0.013;0.0
2024-03-14 05:00:00;-0.1;90.653;0.0;0.0
2024-03-14 06:00:00;-0.163;91.409;0.001;0.0
2024-03-14 07:00:00;-0.406;92.597;0.003;0.0
2024-03-14 08:00:00;0.457;91.899;0.0;0.0
2024-03-14 09:00:00;1.332;89.052;0.136;111.111
2024-03-14 10:00:00;2.363;85.792;0.063;166.667
2024-03-14 11:00:00;3.892;80.68;0.001;444.444
2024-03-14 12:00:00;5.398;75.194;0.0;555.556
2024-03-14 13:00:00;6.334;71.643;0.001;666.667
2024-03-14 14:00:00;7.003;68.977;0.002;555.556
2024-03-14 15:00:00;7.634;66.091;0.0;555.556
2024-03-14 16:00:00;8.174;63.58;0.0;444.444
2024-03-14 17:00:00;8.007;65.79;0.0;333.333
2024-03-14 18:00:00;6.452;74.573;0.0;166.667
2024-03-14 19:00:00;3.878;87.952;0.0;55.556
2024-03-14 20:00:00;2.237;94.234;0.0;0.0
2024-03-14 21:00:00;0.593;96.338;0.0;0.0
2024-03-14 22:00:00;-1.054;97.402;0.0;0.0
2024-03-14 23:00:00;-2.145;96.948;0.0;0.0
2024-03-15 00:00:00;-2.344;96.895;0.0;0.0
2024-03-15 01:00:00;-2.825;96.76;0.0;0.0
2024-03-15 02:00:00;-3.826;96.376;0.0;0.0
2024-03-15 03:00:00;-4.724;95.3;0.001;0.0
2024-03-15 04:00:00;-4.857;94.571;0.006;0.0
2024-03-15 05:00:00;-4.765;93.901;0.01;0.0
2024-03-15 06:00:00;-4.806;93.913;0.01;0.0
2024-03-15 07:00:00;-4.932;94.099;0.014;0.0
2024-03-15 08:00:00;-4.106;93.005;0.02;0.0
2024-03-15 09:00:00;-1.978;88.644;0.019;166.667
2024-03-15 10:00:00;0.654;84.294;0.012;277.778
2024-03-15 11:00:00;2.829;80.314;0.003;333.333
2024-03-15 12:00:00;4.424;73.51;0.0;666.667
2024-03-15 13:00:00;5.267;68.521;0.0;666.667
2024-03-15 14:00:00;5.596;66.773;0.0;666.667
2024-03-15 15:00:00;5.831;66.439;0.0;555.556
2024-03-15 16:00:00;5.86;66.873;0.0;444.444
2024-03-15 17:00:00;5.515;69.352;0.0;333.333
2024-03-15 18:00:00;4.11;78.769;0.0;222.222
2024-03-15 19:00:00;1.309;90.516;0.0;0.0
2024-03-15 20:00:00;-0.471;94.051;0.0;37.037
2024-03-15 21:00:00;-1.14;93.002;0.0;24.691
2024-03-15 22:00:00;-1.81;91.953;0.0;12.346
2024-03-15 23:00:00;-2.479;90.905;0.0;0.0
2024-03-16 00:00:00;-2.24;89.827;0.0;0.0
2024-03-16 01:00:00;-2.001;88.75;0.0;0.0
2024-03-16 02:00:00;-1.762;87.673;0.0;0.0
2024-03-16 03:00:00;-1.445;88.485;0.001;0.0
2024-03-16 04:00:00;-1.128;89.297;0.003;0.0
2024-03-16 05:00:00;-0.811;90.109;0.004;0.0
2024-03-16 06:00:00;-0.627;89.627;0.014;0.0
2024-03-16 07:00:00;-0.443;89.146;0.023;0.0
2024-03-16 08:00:00;-0.259;88.665;0.033;0.0
2024-03-16 09:00:00;0.221;85.801;0.038;61.728
2024-03-16 10:00:00;0.701;82.937;0.042;123.457
2024-03-16 11:00:00;1.181;80.073;0.046;185.185
2024-03-16 12:00:00;1.745;79.181;0.056;234.568
