Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-3.314;64.376;0.0;nan
2024-03-12 09:00:00;-3.326;64.685;0.0;115.226
2024-03-12 10:00:00;-1.248;57.731;0.0;291.947
2024-03-12 11:00:00;0.417;53.259;0.0;416.408
2024-03-12 12:00:00;2.231;49.387;0.0;594.388
2024-03-12 13:00:00;3.744;46.737;0.0;689.811
2024-03-12 14:00:00;5.061;44.156;0.0;689.433
2024-03-12 15:00:00;6.036;42.501;0.0;631.864
2024-03-12 16:00:00;6.398;41.822;0.0;523.204
2024-03-12 17:00:00;6.089;43.13;0.0;369.692
2024-03-12 18:00:00;4.676;47.066;0.0;192.85
2024-03-12 19:00:00;2.009;53.801;0.0;38.314
2024-03-12 20:00:00;0.3;59.226;0.0;0.0
2024-03-12 21:00:00;-0.697;63.632;0.0;0.0
2024-03-12 22:00:00;-1.255;68.463;0.0;0.0
2024-03-12 23:00:00;-2.387;75.228;0.0;0.0
2024-03-13 00:00:00;-3.325;79.956;0.0;0.0
2024-03-13 01:00:00;-3.957;83.327;0.0;0.0
2024-03-13 02:00:00;-4.486;86.385;0.0;0.0
2024-03-13 03:00:00;-5.17;89.57;0.0;0.0
2024-03-13 04:00:00;-5.748;90.367;0.0;0.0
2024-03-13 05:00:00;-6.632;90.841;0.0;0.0
2024-03-13 06:00:00;-7.935;90.565;0.0;0.0
2024-03-13 07:00:00;-9.287;89.642;0.0;0.626
2024-03-13 08:00:00;-8.531;89.184;0.0;31.661
2024-03-13 09:00:00;-3.807;78.156;0.0;177.83
2024-03-13 10:00:00;-0.459;68.324;0.0;371.606
2024-03-13 11:00:00;0.5;67.095;0.0;291.113
2024-03-13 12:00:00;0.858;67.266;0.0;216.265
2024-03-13 13:00:00;2.648;63.404;0.0;285.956
2024-03-13 14:00:00;2.859;63.611;0.001;130.364
2024-03-13 15:00:00;4.227;59.177;0.003;248.675
2024-03-13 16:00:00;4.368;59.732;0.0;223.387
2024-03-13 17:00:00;5.269;59.776;0.008;225.793
2024-03-13 18:00:00;4.617;64.227;0.003;75.492
2024-03-13 19:00:00;3.924;70.443;0.006;8.33
2024-03-13 20:00:00;3.47;74.454;0.005;1.247
2024-03-13 21:00:00;2.695;91.349;0.624;1.358
2024-03-13 22:00:00;2.444;91.092;0.001;0.0
2024-03-13 23:00:00;2.064;90.414;0.0;2.018
2024-03-14 00:00:00;1.463;89.756;0.0;0.0
2024-03-14 01:00:00;0.986;88.894;0.0;0.0
2024-03-14 02:00:00;0.748;89.483;0.0;0.0
2024-03-14 03:00:00;0.582;90.591;0.005;0.0
2024-03-14 04:00:00;0.482;91.521;0.005;0.0
2024-03-14 05:00:00;0.541;91.437;0.0;0.0
2024-03-14 06:00:00;0.381;92.769;0.0;0.0
2024-03-14 07:00:00;0.14;95.364;0.0;0.0
2024-03-14 08:00:00;0.082;95.924;0.0;0.0
2024-03-14 09:00:00;1.882;92.452;0.0;166.667
2024-03-14 10:00:00;3.863;84.267;0.0;333.333
2024-03-14 11:00:00;5.142;78.105;0.0;555.556
2024-03-14 12:00:00;5.848;74.969;0.0;611.111
2024-03-14 13:00:00;6.359;73.018;0.0;555.556
2024-03-14 14:00:00;7.003;71.627;0.0;666.667
2024-03-14 15:00:00;7.259;72.366;0.0;555.556
2024-03-14 16:00:00;7.449;74.705;0.0;555.556
2024-03-14 17:00:00;7.407;78.19;0.0;333.333
2024-03-14 18:00:00;6.276;87.023;0.01;222.222
2024-03-14 19:00:00;3.403;97.077;0.0;0.0
2024-03-14 20:00:00;1.512;98.184;0.0;0.0
2024-03-14 21:00:00;0.218;98.838;0.0;0.0
2024-03-14 22:00:00;-0.579;97.952;0.0;0.0
2024-03-14 23:00:00;0.03;95.648;0.0;0.0
2024-03-15 00:00:00;0.781;95.695;0.0;0.0
2024-03-15 01:00:00;0.825;94.91;0.0;0.0
2024-03-15 02:00:00;0.549;95.026;0.0;0.0
2024-03-15 03:00:00;-0.224;95.25;0.0;0.0
2024-03-15 04:00:00;-0.707;95.021;0.0;0.0
2024-03-15 05:00:00;-1.015;93.926;0.0;0.0
2024-03-15 06:00:00;-0.781;91.588;0.0;0.0
