Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;0.791;57.62;0.0;nan
2024-03-12 09:00:00;-0.551;66.553;0.0;192.043
2024-03-12 10:00:00;1.407;59.437;0.0;380.098
2024-03-12 11:00:00;3.098;50.677;0.0;543.597
2024-03-12 12:00:00;4.132;43.346;0.0;664.07
2024-03-12 13:00:00;5.28;41.364;0.0;729.269
2024-03-12 14:00:00;6.256;39.775;0.0;734.768
2024-03-12 15:00:00;7.092;43.839;0.0;675.52
2024-03-12 16:00:00;7.639;47.817;0.0;558.464
2024-03-12 17:00:00;7.566;48.526;0.0;398.236
2024-03-12 18:00:00;6.681;51.863;0.0;214.678
2024-03-12 19:00:00;4.917;57.883;0.0;50.067
2024-03-12 20:00:00;3.122;62.524;0.0;0.0
2024-03-12 21:00:00;1.359;67.275;0.0;0.0
2024-03-12 22:00:00;1.289;63.067;0.0;0.0
2024-03-12 23:00:00;-0.26;70.247;0.0;0.0
2024-03-13 00:00:00;-0.302;61.394;0.0;0.0
2024-03-13 01:00:00;-0.952;55.933;0.0;0.0
2024-03-13 02:00:00;-1.245;51.82;0.0;0.0
2024-03-13 03:00:00;-1.808;53.461;0.0;0.0
2024-03-13 04:00:00;-2.448;55.502;0.0;0.0
2024-03-13 05:00:00;-1.894;53.878;0.0;0.0
2024-03-13 06:00:00;-1.538;53.279;0.0;0.0
2024-03-13 07:00:00;-1.11;52.287;0.0;0.0
2024-03-13 08:00:00;-0.539;50.192;0.0;26.624
2024-03-13 09:00:00;1.444;47.788;0.0;167.756
2024-03-13 10:00:00;3.844;46.257;0.0;338.024
2024-03-13 11:00:00;6.474;46.066;0.0;482.527
2024-03-13 12:00:00;5.908;54.976;0.023;249.847
2024-03-13 13:00:00;8.345;49.868;0.0;557.964
2024-03-13 14:00:00;8.594;49.661;0.0;341.926
2024-03-13 15:00:00;8.045;53.759;0.002;211.735
2024-03-13 16:00:00;8.967;50.762;0.0;431.592
2024-03-13 17:00:00;8.881;53.228;0.0;333.253
2024-03-13 18:00:00;8.185;58.439;0.0;182.952
2024-03-13 19:00:00;6.664;65.716;0.0;41.911
2024-03-13 20:00:00;4.518;77.175;0.0;1.248
2024-03-13 21:00:00;2.4;96.491;0.0;0.0
2024-03-13 22:00:00;1.591;91.484;0.0;0.0
2024-03-13 23:00:00;0.319;95.694;0.0;0.0
2024-03-14 00:00:00;-0.455;98.472;0.0;0.0
2024-03-14 01:00:00;-0.422;97.311;0.0;0.0
2024-03-14 02:00:00;-0.294;97.046;0.0;0.0
2024-03-14 03:00:00;-0.173;97.116;0.0;0.0
2024-03-14 04:00:00;0.47;97.079;0.0;0.0
2024-03-14 05:00:00;1.009;97.663;0.0;0.0
2024-03-14 06:00:00;1.803;96.781;0.0;0.0
2024-03-14 07:00:00;2.777;92.804;0.0;0.0
2024-03-14 08:00:00;-0.893;95.824;0.0;0.0
2024-03-14 09:00:00;1.407;90.327;0.0;166.667
2024-03-14 10:00:00;4.113;78.567;0.0;388.889
2024-03-14 11:00:00;6.142;68.93;0.0;555.556
2024-03-14 12:00:00;7.648;63.244;0.0;611.111
2024-03-14 13:00:00;8.934;60.468;0.0;722.222
2024-03-14 14:00:00;9.978;58.552;0.0;722.222
2024-03-14 15:00:00;10.634;55.841;0.0;666.667
2024-03-14 16:00:00;10.949;54.005;0.0;500.0
2024-03-14 17:00:00;10.832;54.465;0.0;388.889
2024-03-14 18:00:00;9.927;59.848;0.0;166.667
