Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;5.308;70.574;0.0;nan
2024-03-08 14:00:00;5.831;72.355;0.0;635.638
2024-03-08 15:00:00;6.138;71.057;0.0;522.877
2024-03-08 16:00:00;6.068;69.923;0.0;369.962
2024-03-08 17:00:00;5.443;74.071;0.0;183.403
2024-03-08 18:00:00;3.827;75.309;0.0;33.581
2024-03-08 19:00:00;3.282;75.27;0.0;16.7905
2024-03-08 20:00:00;1.126;80.652;0.0;0.0
2024-03-08 21:00:00;0.078;82.272;0.0;0.0
2024-03-08 22:00:00;-0.814;84.012;0.0;0.0
2024-03-08 23:00:00;-1.25;80.66;0.0;0.0
2024-03-09 00:00:00;-1.133;85.54;0.0;0.0
2024-03-09 01:00:00;0.34;84.539;0.0;0.0
2024-03-09 02:00:00;-0.186;83.181;0.0;0.0
2024-03-09 03:00:00;0.079;82.187;0.0;0.0
2024-03-09 04:00:00;-0.017;82.481;0.0;0.0
2024-03-09 05:00:00;0.388;82.672;0.0;0.0
2024-03-09 06:00:00;0.576;81.655;0.0;0.0
2024-03-09 07:00:00;3.945;58.953;0.0;46.699
2024-03-09 08:00:00;1.826;78.296;0.001;93.398
2024-03-09 09:00:00;2.893;76.526;0.002;165.598
2024-03-09 10:00:00;4.131;74.687;0.0;260.675
2024-03-09 11:00:00;4.388;73.181;0.0;345.048
2024-03-09 12:00:00;4.27;71.447;0.0;211.964
2024-03-09 13:00:00;5.511;58.043;0.515;133.6265
2024-03-09 14:00:00;4.267;76.527;0.336;55.289
2024-03-09 15:00:00;4.037;77.84;0.156;40.959
2024-03-09 16:00:00;3.787;80.875;0.994;31.509
2024-03-09 17:00:00;3.287;85.766;1.152;7.556
2024-03-09 18:00:00;2.473;91.503;2.554;4.198
2024-03-09 19:00:00;3.291;89.846;2.797;2.099
2024-03-09 20:00:00;2.629;96.355;2.67;0.0
2024-03-09 21:00:00;2.655;95.872;2.543;0.0
2024-03-09 22:00:00;2.676;94.162;2.332;0.0
2024-03-09 23:00:00;2.509;94.768;1.199;0.0
2024-03-10 00:00:00;2.442;94.584;1.107;0.0
2024-03-10 01:00:00;3.067;93.224;1.279;0.0
2024-03-10 02:00:00;2.506;95.516;1.739;0.0
2024-03-10 03:00:00;1.945;97.807;2.2;0.0
2024-03-10 04:00:00;1.356;99.765;2.66;0.0
2024-03-10 05:00:00;0.313;99.839;5.293;0.0
2024-03-10 06:00:00;0.163;99.727;1.87;0.0
2024-03-10 07:00:00;0.3585;98.9515;1.276;12.453
2024-03-10 08:00:00;0.554;98.176;0.682;24.906
2024-03-10 09:00:00;0.322;99.666;0.372;37.359
2024-03-10 10:00:00;0.5;99.669;0.061;67.163
2024-03-10 11:00:00;0.811;98.571;0.02;101.164
2024-03-10 12:00:00;0.929;98.521;0.045;100.744
2024-03-10 13:00:00;1.191;99.042;0.103;147.399
2024-03-10 14:00:00;1.833;96.303;0.027;117.081
2024-03-10 15:00:00;0.962;99.626;0.032;86.763
2024-03-10 16:00:00;0.887;98.675;0.036;52.18
2024-03-10 17:00:00;0.734;97.411;0.047;28.159
2024-03-10 18:00:00;-0.144;96.278;0.402;16.073
2024-03-10 19:00:00;-1.037;95.326;0.534;4.3
2024-03-10 20:00:00;-0.877;95.215;0.402;2.15
2024-03-10 21:00:00;-2.248;95.014;0.439;0.0
2024-03-10 22:00:00;-2.555;94.779;0.475;0.0
2024-03-10 23:00:00;-2.971;94.308;0.59;0.0
2024-03-11 00:00:00;-3.557;93.606;0.601;0.0
2024-03-11 01:00:00;-4.105;92.347;0.533;0.0
2024-03-11 02:00:00;-3.556;91.907;0.357;0.0
2024-03-11 03:00:00;-4.383;88.484;0.229;0.0
2024-03-11 04:00:00;-4.431;87.601;0.101;0.0
2024-03-11 05:00:00;-4.45;87.385;0.17;0.0
2024-03-11 06:00:00;-4.582;87.385;0.25;0.0
2024-03-11 07:00:00;-4.594;86.233;0.135;0.0
2024-03-11 08:00:00;-3.61;83.566;0.114;46.699
2024-03-11 09:00:00;-3.95;85.982;0.103;93.398
2024-03-11 10:00:00;-3.434;86.398;0.092;214.29
2024-03-11 11:00:00;-2.769;85.189;0.068;368.974
2024-03-11 12:00:00;-2.201;83.976;0.022;465.94
2024-03-11 13:00:00;-1.861;84.174;0.008;537.653
2024-03-11 14:00:00;-1.001;81.517;0.008;488.0355
2024-03-11 15:00:00;-0.595;82.654;0.004;438.418
2024-03-11 16:00:00;-0.102;81.89;0.0;399.371
2024-03-11 17:00:00;0.002;80.744;0.0;397.368
2024-03-11 18:00:00;-0.13;79.797;0.0;211.899
2024-03-11 19:00:00;-0.969;77.298;0.0;43.656
2024-03-11 20:00:00;-0.414;62.14;0.0;21.828
2024-03-11 21:00:00;-2.513;78.105;0.0;0.0
2024-03-11 22:00:00;-3.114;78.203;0.0;0.0
2024-03-11 23:00:00;-3.559;78.119;0.0;0.0
2024-03-12 00:00:00;-4.25;79.119;0.0;0.0
2024-03-12 01:00:00;-4.931;79.654;0.0;0.0
2024-03-12 02:00:00;-1.947;59.165;0.0;0.0
2024-03-12 03:00:00;-4.622;79.128;0.0;0.0
