Date;AIRTEMP [C];GLOBALRAD [Wm2];HR [percent];Mouillure_feuil;Mouillure_feuil_thres;Num;PR_start;Pressure;RAIN [mm];TGr_10;TGr_20;TGr_5;TGr_50;TMax;TMin;Tair_5;no_data;no_data2;wind_direction;wind_speed
2024-01-01 00:00:00;-8.4;nan;83.0;nan;nan;9999.0;0.0;98.63;0.0;1.01;nan;nan;nan;-8.3;-8.4;nan;nan;nan;294.0;2.9
2024-01-01 01:00:00;-8.4;nan;82.0;nan;nan;9999.0;100.0;98.65;0.0;1.0;nan;nan;nan;-8.4;-8.4;nan;nan;nan;259.0;1.4
2024-01-01 02:00:00;-8.3;nan;81.0;nan;nan;9999.0;200.0;98.67;0.0;0.99;nan;nan;nan;-8.2;-8.4;nan;nan;nan;232.0;2.6
2024-01-01 03:00:00;-8.1;nan;80.0;nan;nan;9999.0;300.0;98.69;0.0;0.98;nan;nan;nan;-8.0;-8.2;nan;nan;nan;275.0;2.0
2024-01-01 04:00:00;-8.0;nan;82.0;nan;nan;9999.0;400.0;98.68;0.0;0.97;nan;nan;nan;-8.0;-8.1;nan;nan;nan;247.0;1.2
2024-01-01 05:00:00;-8.0;nan;81.0;nan;nan;9999.0;500.0;98.67;0.0;0.96;nan;nan;nan;-7.9;-8.0;nan;nan;nan;296.0;2.3
2024-01-01 06:00:00;-8.0;nan;84.0;nan;nan;9999.0;600.0;98.72;0.0;0.96;nan;nan;nan;-7.9;-8.0;nan;nan;nan;307.0;1.2
2024-01-01 07:00:00;-7.9;nan;86.0;nan;nan;9999.0;700.0;98.76;0.0;0.95;nan;nan;nan;-7.8;-8.0;nan;nan;nan;321.0;3.4
2024-01-01 08:00:00;-8.1;nan;87.0;nan;nan;9999.0;800.0;98.79;0.2;0.94;nan;nan;nan;-7.9;-8.2;nan;nan;nan;354.0;2.5
2024-01-01 09:00:00;-8.2;nan;83.0;nan;nan;9999.0;900.0;98.82;0.0;0.94;nan;nan;nan;-8.1;-8.2;nan;nan;nan;313.0;3.2
2024-01-01 10:00:00;-7.9;nan;81.0;nan;nan;9999.0;1000.0;98.84;0.0;0.93;nan;nan;nan;-7.7;-8.1;nan;nan;nan;319.0;3.3
2024-01-01 11:00:00;-7.5;nan;79.0;nan;nan;9999.0;1100.0;98.81;0.0;0.92;nan;nan;nan;-7.3;-7.7;nan;nan;nan;287.0;2.5
2024-01-01 12:00:00;-7.3;nan;75.0;nan;nan;9999.0;1200.0;98.78;0.0;0.92;nan;nan;nan;-6.9;-7.6;nan;nan;nan;289.0;1.7
