Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-1.351;72.052;nan;nan
2024-03-08 08:00:00;-0.835;68.287;nan;179.345
2024-03-08 09:00:00;2.406;57.346;0.0;363.412
2024-03-08 10:00:00;4.952;46.69;0.0;522.189
2024-03-08 11:00:00;6.53;38.469;0.0;636.785
2024-03-08 12:00:00;7.64;32.634;0.0;699.33
2024-03-08 13:00:00;7.97;30.383;0.0;669.6875
2024-03-08 14:00:00;8.628;30.435;0.0;640.045
2024-03-08 15:00:00;8.846;31.858;0.0;524.766
2024-03-08 16:00:00;8.621;32.038;0.0;368.703
2024-03-08 17:00:00;7.607;31.137;0.0;184.242
2024-03-08 18:00:00;4.976;41.298;0.0;31.063
2024-03-08 19:00:00;3.635;53.549;0.0;15.5315
2024-03-08 20:00:00;2.415;54.55;0.0;0.0
2024-03-08 21:00:00;1.641;58.591;0.0;0.0
2024-03-08 22:00:00;0.788;66.35;0.0;0.0
2024-03-08 23:00:00;1.192;58.178;0.0;0.0
2024-03-09 00:00:00;2.083;57.086;0.0;0.0
2024-03-09 01:00:00;3.616;51.496;0.0;0.0
2024-03-09 02:00:00;2.843;56.317;0.0;0.0
2024-03-09 03:00:00;2.584;59.682;0.0;0.0
2024-03-09 04:00:00;1.983;60.507;0.0;0.0
2024-03-09 05:00:00;1.449;59.429;0.0;0.0
2024-03-09 06:00:00;0.873;60.003;0.0;0.0
2024-03-09 07:00:00;4.516;42.743;0.0;46.279
2024-03-09 08:00:00;2.398;57.06;0.0;92.558
2024-03-09 09:00:00;3.452;54.989;0.0;142.93
2024-03-09 10:00:00;4.211;55.065;0.0;225.414
2024-03-09 11:00:00;4.983;53.236;0.0;313.985
2024-03-09 12:00:00;4.842;51.916;0.001;174.185
2024-03-09 13:00:00;6.364;42.225;0.007;135.09550000000002
2024-03-09 14:00:00;4.14;60.848;0.017;96.006
2024-03-09 15:00:00;3.978;56.442;0.027;32.144
2024-03-09 16:00:00;3.899;59.338;0.082;26.472
2024-03-09 17:00:00;2.941;78.733;0.357;10.914
2024-03-09 18:00:00;1.935;91.964;1.178;2.519
2024-03-09 19:00:00;2.539;88.416;1.214;1.2595
2024-03-09 20:00:00;1.614;94.764;1.022;0.0
2024-03-09 21:00:00;1.971;94.419;0.83;0.0
2024-03-09 22:00:00;2.218;93.078;0.246;0.0
2024-03-09 23:00:00;2.334;94.077;0.237;0.0
2024-03-10 00:00:00;2.321;94.054;0.147;0.0
2024-03-10 01:00:00;2.446;91.149;0.514;0.0
2024-03-10 02:00:00;2.154;93.106;1.767;0.0
2024-03-10 03:00:00;1.861;95.063;3.021;0.0
2024-03-10 04:00:00;2.137;96.168;4.274;0.0
2024-03-10 05:00:00;1.059;99.978;4.404;0.0
2024-03-10 06:00:00;0.571;99.773;2.322;0.0
2024-03-10 07:00:00;0.8355;98.202;1.2485;5.667000000000001
2024-03-10 08:00:00;1.1;96.631;0.175;11.334
2024-03-10 09:00:00;0.425;99.436;0.187;17.001
2024-03-10 10:00:00;0.659;98.47;0.199;28.754
2024-03-10 11:00:00;0.978;98.041;0.076;41.557
2024-03-10 12:00:00;1.558;97.829;0.051;75.558
2024-03-10 13:00:00;2.064;94.061;0.027;133.127
2024-03-10 14:00:00;2.465;94.412;0.005;114.8775
2024-03-10 15:00:00;2.174;91.071;0.043;96.628
2024-03-10 16:00:00;1.486;93.995;0.082;67.501
2024-03-10 17:00:00;0.527;98.795;0.79;48.307
2024-03-10 18:00:00;-0.144;98.238;1.328;15.233
2024-03-10 19:00:00;-1.194;95.81;1.191;3.461
2024-03-10 20:00:00;-1.158;93.785;1.228;1.7305
2024-03-10 21:00:00;-2.66;93.423;1.241;0.0
2024-03-10 22:00:00;-3.149;93.096;1.253;0.0
2024-03-10 23:00:00;-3.408;92.971;1.1;0.0
2024-03-11 00:00:00;-3.795;92.245;1.33;0.0
2024-03-11 01:00:00;-4.347;90.964;1.222;0.0
2024-03-11 02:00:00;-3.948;88.794;1.003;0.0
2024-03-11 03:00:00;-4.995;90.029;0.877;0.0
2024-03-11 04:00:00;-5.11;89.1;0.75;0.0
2024-03-11 05:00:00;-5.125;88.838;0.537;0.0
2024-03-11 06:00:00;-5.264;89.622;0.762;0.0
2024-03-11 07:00:00;-5.351;89.623;0.856;0.0
