Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-2.886;81.575;nan;nan
2024-03-08 08:00:00;-2.166;84.497;nan;173.048
2024-03-08 09:00:00;0.795;80.058;0.0;356.696
2024-03-08 10:00:00;3.318;71.893;0.0;515.892
2024-03-08 11:00:00;5.042;69.183;0.0;631.748
2024-03-08 12:00:00;6.266;68.859;0.0;689.255
2024-03-08 13:00:00;6.244;68.937;0.0;660.3475000000001
2024-03-08 14:00:00;6.767;66.521;0.0;631.44
2024-03-08 15:00:00;7.038;65.961;0.0;517.84
2024-03-08 16:00:00;6.767;67.156;0.0;364.925
2024-03-08 17:00:00;5.764;71.581;0.0;183.403
2024-03-08 18:00:00;3.31;77.868;0.0;31.063
2024-03-08 19:00:00;4.058;58.668;0.0;15.5315
2024-03-08 20:00:00;2.076;60.453;0.0;0.0
2024-03-08 21:00:00;0.777;67.192;0.0;0.0
2024-03-08 22:00:00;-1.012;75.688;0.0;0.0
2024-03-08 23:00:00;-1.859;81.582;0.0;0.0
2024-03-09 00:00:00;-1.468;79.107;0.0;0.0
2024-03-09 01:00:00;0.029;76.953;0.0;0.0
2024-03-09 02:00:00;-0.273;74.211;0.0;0.0
2024-03-09 03:00:00;-0.294;75.961;0.0;0.0
2024-03-09 04:00:00;-0.383;77.731;0.0;0.0
2024-03-09 05:00:00;0.005;76.492;0.0;0.0
2024-03-09 06:00:00;0.292;74.692;0.0;0.0
2024-03-09 07:00:00;4.052;52.497;0.0;55.199
2024-03-09 08:00:00;1.953;72.486;0.0;110.398
2024-03-09 09:00:00;3.468;70.554;0.0;177.561
2024-03-09 10:00:00;4.368;69.246;0.0;235.069
2024-03-09 11:00:00;5.435;67.624;0.0;334.973
2024-03-09 12:00:00;5.072;66.443;0.0;205.247
2024-03-09 13:00:00;6.852;51.933;0.008;146.324
2024-03-09 14:00:00;4.329;78.626;0.018;87.401
2024-03-09 15:00:00;3.689;73.09;0.027;39.49
2024-03-09 16:00:00;3.217;80.068;0.398;26.892
2024-03-09 17:00:00;2.849;86.319;1.116;13.433
2024-03-09 18:00:00;2.647;90.627;0.822;0.84
2024-03-09 19:00:00;3.15;89.339;1.67;0.42
2024-03-09 20:00:00;2.075;94.649;1.242;0.0
2024-03-09 21:00:00;2.436;94.557;0.814;0.0
2024-03-09 22:00:00;2.656;93.447;0.769;0.0
2024-03-09 23:00:00;2.64;93.708;0.215;0.0
2024-03-10 00:00:00;2.642;94.354;0.259;0.0
2024-03-10 01:00:00;3.067;92.002;0.454;0.0
2024-03-10 02:00:00;2.683;94.086;1.493;0.0
2024-03-10 03:00:00;2.299;96.17;2.532;0.0
2024-03-10 04:00:00;1.91;97.852;3.571;0.0
2024-03-10 05:00:00;0.504;99.978;4.196;0.0
2024-03-10 06:00:00;0.086;99.75;2.927;0.0
2024-03-10 07:00:00;0.3245;99.2165;1.7065;7.905666666666666
2024-03-10 08:00:00;0.563;98.683;0.486;15.811333333333332
2024-03-10 09:00:00;0.337;99.689;0.362;23.717
2024-03-10 10:00:00;0.562;99.023;0.238;45.964
2024-03-10 11:00:00;0.887;98.156;0.066;62.965
2024-03-10 12:00:00;1.073;98.083;0.067;68.842
2024-03-10 13:00:00;1.416;98.488;0.031;104.583
2024-03-10 14:00:00;2.48;96.026;0.002;89.5865
2024-03-10 15:00:00;2.047;94.83;0.003;74.59
2024-03-10 16:00:00;1.58;95.931;0.004;36.649
2024-03-10 17:00:00;1.255;98.195;0.102;36.554
2024-03-10 18:00:00;0.526;97.8;0.617;26.987
2024-03-10 19:00:00;-0.511;96.571;0.551;4.3
2024-03-10 20:00:00;-0.465;96.045;0.484;2.15
2024-03-10 21:00:00;-1.918;95.175;0.395;0.0
2024-03-10 22:00:00;-2.311;94.341;0.307;0.0
2024-03-10 23:00:00;-2.688;94.054;0.374;0.0
2024-03-11 00:00:00;-3.244;93.329;0.371;0.0
2024-03-11 01:00:00;-3.834;92.37;0.382;0.0
2024-03-11 02:00:00;-3.402;92.23;0.312;0.0
2024-03-11 03:00:00;-4.343;90.19;0.221;0.0
2024-03-11 04:00:00;-4.394;87.578;0.131;0.0
2024-03-11 05:00:00;-4.571;89.714;0.124;0.0
2024-03-11 06:00:00;-4.725;89.991;0.291;0.0
2024-03-11 07:00:00;-4.79;89.531;0.322;0.0
2024-03-11 08:00:00;-3.89;86.541;0.251;32.322
2024-03-11 09:00:00;-4.086;87.319;0.172;64.644
2024-03-11 10:00:00;-3.474;86.26;0.092;138.103
2024-03-11 11:00:00;-2.643;84.658;0.064;215.34
2024-03-11 12:00:00;-1.963;81.209;0.034;274.527
2024-03-11 13:00:00;-1.292;79.401;0.021;344.56
2024-03-11 14:00:00;-0.925;79.787;0.011;316.7705
2024-03-11 15:00:00;-0.57;79.265;0.007;288.981
2024-03-11 16:00:00;-0.168;78.685;0.004;254.132
2024-03-11 17:00:00;0.251;78.576;0.0;209.313
2024-03-11 18:00:00;0.055;78.206;0.0;194.268
2024-03-11 19:00:00;-1.011;78.704;0.0;40.298
2024-03-11 20:00:00;-0.466;63.938;0.0;20.149
2024-03-11 21:00:00;-2.286;76.053;0.0;0.0
2024-03-11 22:00:00;-3.032;76.819;0.0;0.0
2024-03-11 23:00:00;-3.53;77.266;0.0;0.0
