Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-1.486;74.22;nan;nan
2024-03-08 08:00:00;-0.468;66.235;nan;179.66
2024-03-08 09:00:00;2.758;54.486;0.0;363.937
2024-03-08 10:00:00;4.939;45.629;0.0;523.448
2024-03-08 11:00:00;6.801;41.49;0.0;638.884
2024-03-08 12:00:00;8.033;35.009;0.0;696.811
2024-03-08 13:00:00;8.298;30.406;0.0;668.428
2024-03-08 14:00:00;8.84;30.896;0.0;640.045
2024-03-08 15:00:00;9.037;30.152;0.0;525.186
2024-03-08 16:00:00;8.729;28.234;0.0;369.962
2024-03-08 17:00:00;7.671;31.874;0.0;185.082
2024-03-08 18:00:00;5.226;43.004;0.0;31.902
2024-03-08 19:00:00;3.984;52.903;0.0;15.951
2024-03-08 20:00:00;1.897;57.294;0.0;0.0
2024-03-08 21:00:00;1.412;62.003;0.0;0.0
2024-03-08 22:00:00;1.422;61.807;0.0;0.0
2024-03-08 23:00:00;1.65;59.561;0.0;0.0
2024-03-09 00:00:00;2.259;56.855;0.0;0.0
2024-03-09 01:00:00;3.682;52.211;0.0;0.0
2024-03-09 02:00:00;2.739;57.309;0.0;0.0
2024-03-09 03:00:00;2.428;60.72;0.0;0.0
2024-03-09 04:00:00;1.921;61.337;0.0;0.0
2024-03-09 05:00:00;1.326;60.559;0.0;0.0
2024-03-09 06:00:00;0.858;60.672;0.0;0.0
2024-03-09 07:00:00;4.389;43.158;0.0;46.909
2024-03-09 08:00:00;2.354;57.728;0.0;93.818
2024-03-09 09:00:00;3.515;55.45;0.0;155.104
2024-03-09 10:00:00;4.217;55.272;0.0;222.896
2024-03-09 11:00:00;4.9;53.997;0.001;309.787
2024-03-09 12:00:00;4.788;52.631;0.0;187.617
2024-03-09 13:00:00;6.297;42.848;0.008;142.861
2024-03-09 14:00:00;4.098;60.502;0.015;98.105
2024-03-09 15:00:00;3.834;58.379;0.022;33.403
2024-03-09 16:00:00;3.798;60.514;0.056;30.67
2024-03-09 17:00:00;2.856;81.108;0.301;13.433
2024-03-09 18:00:00;1.869;92.518;0.749;2.519
2024-03-09 19:00:00;2.512;88.486;0.781;1.2595
2024-03-09 20:00:00;1.564;94.902;0.806;0.0
2024-03-09 21:00:00;1.837;94.488;0.83;0.0
2024-03-09 22:00:00;2.13;92.732;0.163;0.0
2024-03-09 23:00:00;2.193;94.238;0.221;0.0
2024-03-10 00:00:00;2.328;90.803;0.068;0.0
2024-03-10 01:00:00;2.241;90.988;0.507;0.0
2024-03-10 02:00:00;1.961;93.083;1.756;0.0
2024-03-10 03:00:00;1.681;95.178;3.004;0.0
2024-03-10 04:00:00;2.071;95.822;4.253;0.0
2024-03-10 05:00:00;0.837;99.978;3.251;0.0
2024-03-10 06:00:00;0.615;99.75;1.811;0.0
2024-03-10 07:00:00;0.9995;97.6255;0.9945;6.156666666666666
2024-03-10 08:00:00;1.384;95.501;0.178;12.313333333333333
