Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-1.146;72.583;nan;nan
2024-03-08 08:00:00;-0.629;68.287;nan;178.925
2024-03-08 09:00:00;2.765;57.0;0.0;362.993
2024-03-08 10:00:00;5.295;46.667;0.0;522.609
2024-03-08 11:00:00;6.989;41.559;0.0;636.365
2024-03-08 12:00:00;8.124;34.341;0.0;696.811
2024-03-08 13:00:00;8.377;30.014;0.0;668.2185
2024-03-08 14:00:00;8.972;30.412;0.0;639.626
2024-03-08 15:00:00;9.187;31.097;0.0;525.186
2024-03-08 16:00:00;8.944;30.309;0.0;368.703
2024-03-08 17:00:00;7.923;31.321;0.0;185.921
2024-03-08 18:00:00;5.384;42.128;0.0;31.063
2024-03-08 19:00:00;4.12;52.673;0.0;15.5315
2024-03-08 20:00:00;1.952;57.271;0.0;0.0
2024-03-08 21:00:00;1.401;61.796;0.0;0.0
2024-03-08 22:00:00;1.294;63.444;0.0;0.0
2024-03-08 23:00:00;1.447;61.706;0.0;0.0
2024-03-09 00:00:00;2.142;58.169;0.0;0.0
2024-03-09 01:00:00;3.663;53.041;0.0;0.0
2024-03-09 02:00:00;2.81;57.263;0.0;0.0
2024-03-09 03:00:00;2.531;60.674;0.0;0.0
2024-03-09 04:00:00;2.041;61.544;0.0;0.0
2024-03-09 05:00:00;1.472;60.859;0.0;0.0
2024-03-09 06:00:00;1.005;60.488;0.0;0.0
2024-03-09 07:00:00;4.545;42.882;0.0;44.915
2024-03-09 08:00:00;2.529;57.313;0.0;89.83
2024-03-09 09:00:00;3.775;54.482;0.0;151.535
2024-03-09 10:00:00;4.55;54.027;0.0;222.056
2024-03-09 11:00:00;5.247;52.89;0.001;308.948
2024-03-09 12:00:00;5.087;51.547;0.0;183.42
2024-03-09 13:00:00;6.596;41.787;0.008;139.81799999999998
2024-03-09 14:00:00;4.251;61.608;0.016;96.216
2024-03-09 15:00:00;4.017;57.918;0.023;33.193
2024-03-09 16:00:00;3.896;62.682;0.089;27.732
2024-03-09 17:00:00;2.863;84.313;0.33;11.753
2024-03-09 18:00:00;2.0;92.587;1.046;2.519
2024-03-09 19:00:00;2.722;88.463;1.107;1.2595
2024-03-09 20:00:00;1.703;94.948;0.956;0.0
2024-03-09 21:00:00;1.981;94.511;0.804;0.0
2024-03-09 22:00:00;2.244;93.147;0.181;0.0
2024-03-09 23:00:00;2.331;94.261;0.225;0.0
2024-03-10 00:00:00;2.453;91.587;0.079;0.0
2024-03-10 01:00:00;2.455;91.08;0.486;0.0
2024-03-10 02:00:00;2.112;93.198;1.751;0.0
2024-03-10 03:00:00;1.769;95.317;3.016;0.0
2024-03-10 04:00:00;2.094;96.237;4.282;0.0
2024-03-10 05:00:00;0.955;99.978;3.831;0.0
2024-03-10 06:00:00;0.579;99.773;1.827;0.0
2024-03-10 07:00:00;0.9715;98.0865;1.011;6.506333333333333
2024-03-10 08:00:00;1.364;96.4;0.195;13.012666666666666
2024-03-10 09:00:00;0.624;99.366;0.188;19.519
2024-03-10 10:00:00;0.892;98.193;0.182;32.532
2024-03-10 11:00:00;1.217;97.672;0.073;46.174
2024-03-10 12:00:00;1.875;97.806;0.072;97.386
2024-03-10 13:00:00;2.109;94.615;0.029;109.62
2024-03-10 14:00:00;2.53;95.265;0.006;81.40100000000001
2024-03-10 15:00:00;2.066;93.285;0.052;53.182
2024-03-10 16:00:00;1.568;95.562;0.098;67.711
2024-03-10 17:00:00;0.698;98.379;0.631;48.727
2024-03-10 18:00:00;-0.076;97.454;1.191;24.468
2024-03-10 19:00:00;-1.152;95.257;1.063;1.782
2024-03-10 20:00:00;-1.047;93.509;1.188;0.891
2024-03-10 21:00:00;-2.561;93.215;1.18;0.0
2024-03-10 22:00:00;-3.043;92.888;1.173;0.0
2024-03-10 23:00:00;-3.295;92.694;0.973;0.0
2024-03-11 00:00:00;-3.669;92.061;1.213;0.0
2024-03-11 01:00:00;-4.206;90.618;1.095;0.0
2024-03-11 02:00:00;-3.779;87.987;0.874;0.0
2024-03-11 03:00:00;-4.789;89.36;0.747;0.0
2024-03-11 04:00:00;-4.868;88.039;0.62;0.0
2024-03-11 05:00:00;-4.875;87.916;0.448;0.0
2024-03-11 06:00:00;-5.03;88.999;0.713;0.0
2024-03-11 07:00:00;-5.106;89.024;0.746;0.0
2024-03-11 08:00:00;-4.302;86.725;0.712;15.951
2024-03-11 09:00:00;-4.646;87.388;0.594;31.902
2024-03-11 10:00:00;-4.265;86.905;0.476;66.743
2024-03-11 11:00:00;-3.77;84.704;0.341;94.447
2024-03-11 12:00:00;-3.212;81.094;0.182;108.3
2024-03-11 13:00:00;-2.528;77.233;0.091;134.678
2024-03-11 14:00:00;-1.799;76.767;0.044;117.487
2024-03-11 15:00:00;-1.392;76.613;0.039;100.296
2024-03-11 16:00:00;-0.515;73.704;0.035;96.93
2024-03-11 17:00:00;0.1;71.682;0.005;70.791
2024-03-11 18:00:00;0.503;67.553;0.0;142.218
2024-03-11 19:00:00;-0.129;69.135;0.0;37.779
2024-03-11 20:00:00;0.569;53.124;0.0;18.8895
2024-03-11 21:00:00;-1.128;66.276;0.0;0.0
2024-03-11 22:00:00;-1.782;67.365;0.0;0.0
2024-03-11 23:00:00;-2.312;67.028;0.0;0.0
2024-03-12 00:00:00;-2.862;67.751;0.0;0.0
2024-03-12 01:00:00;-3.435;68.978;0.0;0.0
2024-03-12 02:00:00;-1.03;50.103;0.0;0.0
2024-03-12 03:00:00;-3.951;68.383;0.0;0.0
