Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-3.759;82.636;nan;nan
2024-03-08 08:00:00;-2.41;77.649;nan;167.277
2024-03-08 09:00:00;0.727;66.615;0.0;351.134
2024-03-08 10:00:00;3.434;57.781;0.0;511.695
2024-03-08 11:00:00;5.706;51.497;0.0;629.649
2024-03-08 12:00:00;7.233;45.916;0.0;694.293
2024-03-08 13:00:00;7.606;41.059;0.0;666.5395
2024-03-08 14:00:00;7.949;44.731;0.0;638.786
2024-03-08 15:00:00;7.98;46.2;0.0;530.643
2024-03-08 16:00:00;7.585;48.664;0.0;372.481
2024-03-08 17:00:00;6.695;54.01;0.0;184.242
2024-03-08 18:00:00;4.836;64.448;0.0;34.421
2024-03-08 19:00:00;4.021;71.027;0.0;17.2105
2024-03-08 20:00:00;2.194;74.449;0.0;0.0
2024-03-08 21:00:00;1.536;77.291;0.0;0.0
2024-03-08 22:00:00;1.071;81.476;0.0;0.0
2024-03-08 23:00:00;1.486;71.46;0.0;0.0
2024-03-09 00:00:00;1.867;62.066;0.0;0.0
2024-03-09 01:00:00;2.549;66.761;0.0;0.0
2024-03-09 02:00:00;1.485;68.538;0.0;0.0
2024-03-09 03:00:00;1.319;68.859;0.0;0.0
2024-03-09 04:00:00;1.206;69.523;0.0;0.0
2024-03-09 05:00:00;1.062;71.742;0.0;0.0
2024-03-09 06:00:00;1.059;73.354;0.0;0.0
2024-03-09 07:00:00;4.751;50.606;0.0;34.106
2024-03-09 08:00:00;2.894;58.42;0.0;68.212
2024-03-09 09:00:00;3.669;53.237;0.0;113.127
2024-03-09 10:00:00;4.515;49.369;0.0;256.057
2024-03-09 11:00:00;4.272;49.131;0.005;163.709
2024-03-09 12:00:00;4.589;49.126;0.008;164.95
2024-03-09 13:00:00;5.57;46.56;0.347;101.724
2024-03-09 14:00:00;4.692;55.821;0.219;38.498
2024-03-09 15:00:00;4.79;56.788;0.091;32.144
2024-03-09 16:00:00;4.953;59.638;0.049;18.497
2024-03-09 17:00:00;2.898;90.377;1.27;10.074
2024-03-09 18:00:00;2.182;95.838;0.918;1.679
2024-03-09 19:00:00;3.48;87.402;0.759;0.8395
2024-03-09 20:00:00;1.999;96.286;0.678;0.0
2024-03-09 21:00:00;1.848;96.402;0.598;0.0
2024-03-09 22:00:00;2.264;95.822;0.484;0.0
2024-03-09 23:00:00;2.32;96.175;0.258;0.0
2024-03-10 00:00:00;2.277;96.429;0.424;0.0
2024-03-10 01:00:00;2.55;92.14;1.412;0.0
2024-03-10 02:00:00;1.989;94.432;1.796;0.0
2024-03-10 03:00:00;1.427;96.723;2.18;0.0
2024-03-10 04:00:00;0.512;99.973;2.563;0.0
2024-03-10 05:00:00;0.542;99.424;2.763;0.0
2024-03-10 06:00:00;0.96;97.629;0.612;0.0
2024-03-10 07:00:00;0.963;97.0145;0.389;10.984
2024-03-10 08:00:00;0.966;96.4;0.166;21.968
2024-03-10 09:00:00;0.509;99.574;0.104;32.952
2024-03-10 10:00:00;0.816;99.715;0.043;55.619
2024-03-10 11:00:00;1.21;98.594;0.055;77.657
2024-03-10 12:00:00;1.48;98.36;0.116;90.669
2024-03-10 13:00:00;1.705;98.788;0.265;94.509
2024-03-10 14:00:00;3.033;92.844;0.631;101.34
2024-03-10 15:00:00;1.598;96.49;0.425;108.171
2024-03-10 16:00:00;0.766;93.971;0.219;65.612
2024-03-10 17:00:00;0.126;86.182;0.069;69.715
2024-03-10 18:00:00;-0.843;84.38;0.037;35.382
2024-03-10 19:00:00;-1.822;86.518;0.17;7.659
2024-03-10 20:00:00;-1.426;84.608;0.215;3.8295
2024-03-10 21:00:00;-2.707;86.229;0.266;0.0
2024-03-10 22:00:00;-3.052;89.153;0.317;0.0
2024-03-10 23:00:00;-3.353;89.904;0.609;0.0
2024-03-11 00:00:00;-3.741;89.432;0.795;0.0
2024-03-11 01:00:00;-4.118;88.151;0.882;0.0
2024-03-11 02:00:00;-3.527;86.927;0.809;0.0
2024-03-11 03:00:00;-4.171;83.826;0.612;0.0
2024-03-11 04:00:00;-4.192;84.396;0.415;0.0
2024-03-11 05:00:00;-4.06;81.99;0.473;0.0
2024-03-11 06:00:00;-3.896;78.692;0.343;0.0
2024-03-11 07:00:00;-3.751;76.733;0.257;0.0
