Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.809;58.03;0.0;nan
2024-03-08 14:00:00;5.11;59.373;0.0;630.81
2024-03-08 15:00:00;4.821;60.981;0.0;518.47
2024-03-08 16:00:00;2.834;68.978;0.0;365.764
2024-03-08 17:00:00;1.675;72.503;0.0;183.403
2024-03-08 18:00:00;1.289;60.667;0.0;31.902
2024-03-08 19:00:00;1.211;55.624;0.0;15.951
2024-03-08 20:00:00;-1.664;81.897;0.0;0.0
2024-03-08 21:00:00;-1.342;80.681;0.0;0.0
2024-03-08 22:00:00;-1.371;80.899;0.0;0.0
2024-03-08 23:00:00;-2.096;82.643;0.0;0.0
2024-03-09 00:00:00;-1.745;78.738;0.0;0.0
2024-03-09 01:00:00;-0.82;80.273;0.0;0.0
2024-03-09 02:00:00;-1.492;80.252;0.0;0.0
2024-03-09 03:00:00;-2.025;79.628;0.0;0.0
2024-03-09 04:00:00;-2.415;80.522;0.0;0.0
2024-03-09 05:00:00;-1.695;80.251;0.0;0.0
2024-03-09 06:00:00;0.292;71.21;0.0;0.0
2024-03-09 07:00:00;4.409;52.059;0.0;56.7735
2024-03-09 08:00:00;2.343;64.346;0.0;113.547
2024-03-09 09:00:00;3.766;61.999;0.0;171.894
2024-03-09 10:00:00;5.027;58.938;0.0;272.008
2024-03-09 11:00:00;6.195;56.487;0.0;444.952
2024-03-09 12:00:00;5.758;56.758;0.0;326.14
2024-03-09 13:00:00;6.672;44.093;0.021;199.4245
2024-03-09 14:00:00;3.559;83.537;0.324;72.709
2024-03-09 15:00:00;3.232;85.242;0.628;49.984
2024-03-09 16:00:00;2.579;86.386;0.716;34.448
2024-03-09 17:00:00;2.137;89.478;1.007;10.074
2024-03-09 18:00:00;1.858;93.786;1.67;2.519
2024-03-09 19:00:00;2.687;89.869;2.363;1.2595
2024-03-09 20:00:00;1.824;97.185;2.559;0.0
2024-03-09 21:00:00;2.178;96.932;2.756;0.0
2024-03-09 22:00:00;2.401;96.606;2.86;0.0
2024-03-09 23:00:00;2.392;95.714;0.748;0.0
2024-03-10 00:00:00;2.238;96.775;0.946;0.0
2024-03-10 01:00:00;2.582;95.438;1.925;0.0
2024-03-10 02:00:00;2.301;96.449;1.918;0.0
2024-03-10 03:00:00;2.021;97.461;1.912;0.0
2024-03-10 04:00:00;1.709;98.612;1.905;0.0
2024-03-10 05:00:00;0.19;99.885;6.662;0.0
2024-03-10 06:00:00;0.163;99.797;3.621;0.0
2024-03-10 07:00:00;0.373;99.528;2.3285;6.996
2024-03-10 08:00:00;0.583;99.259;1.036;13.992
2024-03-10 09:00:00;0.082;99.758;0.563;20.988
2024-03-10 10:00:00;0.092;99.761;0.089;45.335
2024-03-10 11:00:00;0.225;99.678;0.02;60.446
2024-03-10 12:00:00;0.537;99.582;0.011;85.632
2024-03-10 13:00:00;0.339;99.664;0.024;82.755
2024-03-10 14:00:00;1.896;96.994;0.019;75.1045
2024-03-10 15:00:00;0.293;99.534;0.012;67.454
2024-03-10 16:00:00;0.211;99.828;0.004;48.402
2024-03-10 17:00:00;0.288;99.878;0.053;31.097
2024-03-10 18:00:00;0.279;99.875;0.356;10.196
2024-03-10 19:00:00;-0.714;99.269;0.703;3.461
2024-03-10 20:00:00;-0.398;99.135;0.72;1.7305
2024-03-10 21:00:00;-1.691;97.504;0.635;0.0
2024-03-10 22:00:00;-1.896;97.108;0.55;0.0
2024-03-10 23:00:00;-2.149;96.476;0.536;0.0
2024-03-11 00:00:00;-2.737;94.828;0.435;0.0
2024-03-11 01:00:00;-3.312;90.779;0.217;0.0
2024-03-11 02:00:00;-2.791;88.218;0.149;0.0
2024-03-11 03:00:00;-3.992;84.841;0.086;0.0
2024-03-11 04:00:00;-4.031;81.767;0.023;0.0
2024-03-11 05:00:00;-4.151;85.518;0.15;0.0
2024-03-11 06:00:00;-4.245;82.727;0.164;0.0
2024-03-11 07:00:00;-4.301;81.53;0.149;0.0
