Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-2.925;82.913;nan;nan
2024-03-08 08:00:00;-1.919;86.711;nan;170.845
2024-03-08 09:00:00;0.681;84.508;0.0;353.863
2024-03-08 10:00:00;3.016;77.496;0.0;514.633
2024-03-08 11:00:00;4.651;75.386;0.0;631.328
2024-03-08 12:00:00;6.024;73.563;0.0;692.614
2024-03-08 13:00:00;6.304;69.559;0.0;663.601
2024-03-08 14:00:00;6.642;70.741;0.0;634.588
2024-03-08 15:00:00;6.881;68.498;0.0;521.828
2024-03-08 16:00:00;6.709;66.88;0.0;368.703
2024-03-08 17:00:00;5.791;70.405;0.0;183.403
2024-03-08 18:00:00;3.053;75.562;0.0;31.902
2024-03-08 19:00:00;1.509;78.222;0.0;15.951
2024-03-08 20:00:00;0.298;77.332;0.0;0.0
2024-03-08 21:00:00;1.679;65.416;0.0;0.0
2024-03-08 22:00:00;-1.228;74.674;0.0;0.0
2024-03-08 23:00:00;-2.45;83.75;0.0;0.0
2024-03-09 00:00:00;-1.776;86.462;0.0;0.0
2024-03-09 01:00:00;-0.095;81.15;0.0;0.0
2024-03-09 02:00:00;0.007;73.957;0.0;0.0
2024-03-09 03:00:00;0.076;75.777;0.0;0.0
2024-03-09 04:00:00;0.014;75.057;0.0;0.0
2024-03-09 05:00:00;-0.056;75.801;0.0;0.0
2024-03-09 06:00:00;-0.008;72.985;0.0;0.0
2024-03-09 07:00:00;3.834;49.845;0.0;39.458
2024-03-09 08:00:00;1.988;70.111;0.0;78.916
2024-03-09 09:00:00;3.348;68.847;0.0;156.153
2024-03-09 10:00:00;4.733;65.418;0.0;205.685
2024-03-09 11:00:00;4.777;62.436;0.0;238.427
2024-03-09 12:00:00;5.3;58.857;0.0;204.408
2024-03-09 13:00:00;7.217;47.436;0.216;131.7375
2024-03-09 14:00:00;4.383;72.261;0.147;59.067
2024-03-09 15:00:00;4.264;70.83;0.079;38.44
2024-03-09 16:00:00;4.262;69.346;0.047;18.497
2024-03-09 17:00:00;3.662;83.552;0.767;11.753
2024-03-09 18:00:00;2.771;91.803;1.012;1.679
2024-03-09 19:00:00;3.796;89.362;2.057;0.8395
2024-03-09 20:00:00;2.706;96.147;1.659;0.0
2024-03-09 21:00:00;2.716;95.503;1.262;0.0
2024-03-09 22:00:00;2.907;94.047;0.525;0.0
2024-03-09 23:00:00;2.735;95.23;0.474;0.0
2024-03-10 00:00:00;2.594;95.806;0.341;0.0
2024-03-10 01:00:00;3.33;91.795;1.022;0.0
2024-03-10 02:00:00;2.831;93.579;1.376;0.0
2024-03-10 03:00:00;2.332;95.363;1.729;0.0
2024-03-10 04:00:00;2.041;96.906;2.083;0.0
2024-03-10 05:00:00;0.35;99.862;4.236;0.0
2024-03-10 06:00:00;0.134;99.82;1.171;0.0
2024-03-10 07:00:00;0.362;98.6405;0.7905;10.564
2024-03-10 08:00:00;0.59;97.461;0.41;21.128
2024-03-10 09:00:00;0.327;99.712;0.268;31.692
2024-03-10 10:00:00;0.705;99.207;0.127;60.656
2024-03-10 11:00:00;1.228;98.617;0.08;93.188
2024-03-10 12:00:00;1.785;97.922;0.007;109.139
2024-03-10 13:00:00;2.328;96.09;0.061;155.795
2024-03-10 14:00:00;2.493;95.265;0.047;120.9645
2024-03-10 15:00:00;1.929;97.781;0.056;86.134
2024-03-10 16:00:00;1.392;96.185;0.064;35.179
2024-03-10 17:00:00;1.048;95.197;0.039;25.64
2024-03-10 18:00:00;-0.115;94.826;0.165;15.233
2024-03-10 19:00:00;-1.168;93.62;0.208;5.14
2024-03-10 20:00:00;-0.945;93.14;0.138;2.57
2024-03-10 21:00:00;-2.369;92.362;0.113;0.0
2024-03-10 22:00:00;-2.673;93.003;0.087;0.0
2024-03-10 23:00:00;-2.91;93.086;0.205;0.0
2024-03-11 00:00:00;-3.408;92.499;0.266;0.0
2024-03-11 01:00:00;-4.003;91.748;0.326;0.0
2024-03-11 02:00:00;-3.474;90.824;0.301;0.0
2024-03-11 03:00:00;-4.337;89.729;0.233;0.0
2024-03-11 04:00:00;-4.283;88.2;0.164;0.0
2024-03-11 05:00:00;-4.338;89.299;0.288;0.0
2024-03-11 06:00:00;-4.457;90.313;0.442;0.0
2024-03-11 07:00:00;-4.454;89.0;0.362;0.0
