Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;0.45;57.661;0.0;nan
2024-03-08 14:00:00;0.291;60.111;0.0;579.389
2024-03-08 15:00:00;0.034;60.174;0.0;462.851
2024-03-08 16:00:00;-0.429;62.314;0.0;309.096
2024-03-08 17:00:00;-1.341;65.978;0.0;136.389
2024-03-08 18:00:00;-2.489;73.003;0.0;14.272
2024-03-08 19:00:00;-0.951;65.586;0.0;7.136
2024-03-08 20:00:00;-3.229;79.176;0.0;0.0
2024-03-08 21:00:00;-4.39;82.871;0.0;0.0
2024-03-08 22:00:00;-5.563;81.96;0.0;0.0
2024-03-08 23:00:00;-6.645;84.972;0.0;0.0
2024-03-09 00:00:00;-5.657;73.088;0.0;0.0
2024-03-09 01:00:00;-4.822;68.952;0.0;0.0
2024-03-09 02:00:00;-6.757;78.062;0.0;0.0
2024-03-09 03:00:00;-6.857;78.383;0.0;0.0
2024-03-09 04:00:00;-6.132;73.396;0.0;0.0
2024-03-09 05:00:00;-6.335;75.547;0.0;0.0
2024-03-09 06:00:00;-6.701;79.811;0.0;0.0
2024-03-09 07:00:00;-5.035;81.966;0.0;67.0575
2024-03-09 08:00:00;-0.483;61.418;0.0;134.115
2024-03-09 09:00:00;1.918;56.903;0.0;307.059
2024-03-09 10:00:00;3.022;53.612;0.0;405.074
2024-03-09 11:00:00;5.723;48.762;0.0;458.384
2024-03-09 12:00:00;8.142;32.847;0.0;507.479
2024-03-09 13:00:00;7.635;26.776;0.0;375.0965
2024-03-09 14:00:00;6.89;31.609;0.0;242.714
2024-03-09 15:00:00;6.166;32.968;0.0;143.592
2024-03-09 16:00:00;5.891;34.574;0.0;123.438
2024-03-09 17:00:00;4.859;34.968;0.0;93.188
2024-03-09 18:00:00;3.844;36.716;0.0;8.395
2024-03-09 19:00:00;4.476;36.766;0.0;4.1975
2024-03-09 20:00:00;2.701;42.467;0.0;0.0
2024-03-09 21:00:00;2.383;46.434;0.0;0.0
2024-03-09 22:00:00;2.524;49.959;0.0;0.0
2024-03-09 23:00:00;2.439;52.733;0.0;0.0
2024-03-10 00:00:00;2.189;55.293;0.0;0.0
2024-03-10 01:00:00;2.407;56.262;0.001;0.0
2024-03-10 02:00:00;1.881;65.563;0.14;0.0
2024-03-10 03:00:00;1.355;74.864;0.28;0.0
2024-03-10 04:00:00;1.149;78.344;0.419;0.0
2024-03-10 05:00:00;1.12;76.158;0.03;0.0
2024-03-10 06:00:00;1.114;75.009;0.039;0.0
2024-03-10 07:00:00;0.778;84.84;0.6390000000000001;3.078333333333333
2024-03-10 08:00:00;0.442;94.671;1.239;6.156666666666666
2024-03-10 09:00:00;-0.102;96.046;0.802;9.235
2024-03-10 10:00:00;-0.014;96.602;0.365;23.507
2024-03-10 11:00:00;0.063;93.568;0.139;25.186
2024-03-10 12:00:00;-0.373;98.267;1.697;28.544
2024-03-10 13:00:00;-0.554;98.996;3.496;27.346
2024-03-10 14:00:00;-0.502;99.485;2.923;42.6775
2024-03-10 15:00:00;0.02;98.612;2.049;58.009
2024-03-10 16:00:00;0.169;98.698;1.175;36.019
2024-03-10 17:00:00;0.175;99.163;0.889;23.541
2024-03-10 18:00:00;0.212;98.884;0.623;11.036
2024-03-10 19:00:00;0.231;98.554;0.472;3.461
2024-03-10 20:00:00;0.058;99.873;0.819;1.7305
2024-03-10 21:00:00;-0.381;99.118;0.588;0.0
2024-03-10 22:00:00;-0.559;98.606;0.358;0.0
2024-03-10 23:00:00;-0.602;98.851;0.305;0.0
2024-03-11 00:00:00;-0.61;99.117;0.451;0.0
2024-03-11 01:00:00;-0.737;98.827;0.307;0.0
2024-03-11 02:00:00;-0.637;99.355;0.185;0.0
2024-03-11 03:00:00;-0.96;96.993;0.202;0.0
2024-03-11 04:00:00;-0.875;96.893;0.22;0.0
2024-03-11 05:00:00;-0.718;96.885;0.12;0.0
2024-03-11 06:00:00;-0.619;98.246;0.844;0.0
2024-03-11 07:00:00;-0.524;98.893;2.401;0.0
