Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;-0.419;64.924;0.0;nan
2024-03-08 14:00:00;-0.686;64.377;0.0;597.649
2024-03-08 15:00:00;-0.592;66.93;0.0;482.37
2024-03-08 16:00:00;-0.474;69.347;0.0;325.887
2024-03-08 17:00:00;-2.188;80.666;0.0;148.982
2024-03-08 18:00:00;-3.057;86.123;0.0;17.63
2024-03-08 19:00:00;-1.261;83.802;0.0;8.815
2024-03-08 20:00:00;-3.928;88.999;0.0;0.0
2024-03-08 21:00:00;-4.985;87.437;0.0;0.0
2024-03-08 22:00:00;-5.7;85.142;0.0;0.0
2024-03-08 23:00:00;-6.297;83.819;0.0;0.0
2024-03-09 00:00:00;-6.907;82.012;0.0;0.0
2024-03-09 01:00:00;-5.511;69.713;0.0;0.0
2024-03-09 02:00:00;-6.035;73.473;0.0;0.0
2024-03-09 03:00:00;-6.399;71.696;0.0;0.0
2024-03-09 04:00:00;-6.739;76.094;0.0;0.0
2024-03-09 05:00:00;-6.397;84.955;0.0;0.0
2024-03-09 06:00:00;-6.447;83.315;0.0;0.0
2024-03-09 07:00:00;-5.555;79.614;0.0;68.9465
2024-03-09 08:00:00;-1.774;78.735;0.0;137.893
2024-03-09 09:00:00;-0.503;76.526;0.0;248.711
2024-03-09 10:00:00;-0.03;73.788;0.0;352.184
2024-03-09 11:00:00;0.114;72.928;0.0;458.384
2024-03-09 12:00:00;0.024;71.7;0.0;376.512
2024-03-09 13:00:00;0.759;65.814;0.0;311.187
2024-03-09 14:00:00;0.678;76.735;0.0;245.862
2024-03-09 15:00:00;3.964;63.267;0.0;377.191
2024-03-09 16:00:00;3.245;50.322;0.0;221.663
2024-03-09 17:00:00;1.746;54.706;0.0;68.842
2024-03-09 18:00:00;0.679;62.15;0.0;8.395
2024-03-09 19:00:00;1.65;57.08;0.0;4.1975
2024-03-09 20:00:00;-0.817;68.892;0.0;0.0
2024-03-09 21:00:00;-0.707;71.337;0.0;0.0
2024-03-09 22:00:00;-0.581;73.501;0.0;0.0
2024-03-09 23:00:00;-0.878;76.668;0.003;0.0
2024-03-10 00:00:00;-0.812;80.473;0.073;0.0
2024-03-10 01:00:00;-0.75;87.921;1.11;0.0
2024-03-10 02:00:00;-0.951;89.52;1.222;0.0
2024-03-10 03:00:00;-1.151;91.12;1.335;0.0
2024-03-10 04:00:00;-1.0;92.018;1.447;0.0
2024-03-10 05:00:00;-0.551;91.93;1.053;0.0
2024-03-10 06:00:00;-0.353;92.279;0.664;0.0
2024-03-10 07:00:00;-0.017;92.7945;0.577;4.477666666666667
2024-03-10 08:00:00;0.319;93.31;0.49;8.955333333333334
2024-03-10 09:00:00;-0.71;99.366;1.387;13.433
2024-03-10 10:00:00;-0.633;99.369;2.284;43.656
2024-03-10 11:00:00;-0.685;99.355;2.397;39.458
2024-03-10 12:00:00;-0.549;99.213;3.958;66.323
2024-03-10 13:00:00;-0.53;99.272;2.169;75.2
2024-03-10 14:00:00;-0.27;99.208;2.027;82.55600000000001
2024-03-10 15:00:00;-0.59;98.819;1.726;89.912
2024-03-10 16:00:00;-0.454;99.275;1.425;46.513
2024-03-10 17:00:00;-0.253;99.371;0.972;29.838
2024-03-10 18:00:00;-0.185;99.507;0.879;11.875
2024-03-10 19:00:00;-0.185;99.546;1.26;2.621
2024-03-10 20:00:00;-0.202;99.781;0.878;1.3105
2024-03-10 21:00:00;-0.896;99.095;0.478;0.0
2024-03-10 22:00:00;-0.985;99.068;0.078;0.0
2024-03-10 23:00:00;-1.112;99.012;0.285;0.0
2024-03-11 00:00:00;-1.172;98.978;0.526;0.0
2024-03-11 01:00:00;-1.162;98.873;0.201;0.0
2024-03-11 02:00:00;-0.516;98.64;0.343;0.0
2024-03-11 03:00:00;-0.274;97.408;0.519;0.0
2024-03-11 04:00:00;-0.447;98.185;0.695;0.0
2024-03-11 05:00:00;-0.559;98.361;0.993;0.0
2024-03-11 06:00:00;-0.622;98.476;0.912;0.0
2024-03-11 07:00:00;-0.625;98.616;0.797;0.0
