Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;7.683;29.599;0.0;nan
2024-03-08 14:00:00;8.22;32.556;0.0;618.427
2024-03-08 15:00:00;8.271;34.948;0.0;526.235
2024-03-08 16:00:00;7.464;37.826;0.0;366.184
2024-03-08 17:00:00;5.597;43.311;0.0;187.6
2024-03-08 18:00:00;2.568;54.395;0.0;45.335
2024-03-08 19:00:00;1.874;49.906;0.0;22.6675
2024-03-08 20:00:00;0.776;51.737;0.0;0.0
2024-03-08 21:00:00;-0.214;56.792;0.0;0.0
2024-03-08 22:00:00;-0.702;61.161;0.0;0.0
2024-03-08 23:00:00;-0.319;62.951;0.0;0.0
2024-03-09 00:00:00;0.1;62.205;0.0;0.0
2024-03-09 01:00:00;1.801;53.71;0.0;0.0
2024-03-09 02:00:00;0.36;63.442;0.0;0.0
2024-03-09 03:00:00;0.875;63.533;0.0;0.0
2024-03-09 04:00:00;1.102;64.45;0.0;0.0
2024-03-09 05:00:00;0.435;68.606;0.0;0.0
2024-03-09 06:00:00;0.852;68.143;0.011;0.0
2024-03-09 07:00:00;2.513;56.786;0.0;48.798
2024-03-09 08:00:00;2.43;61.141;0.0;97.596
2024-03-09 09:00:00;4.475;54.689;0.0;243.254
2024-03-09 10:00:00;4.567;55.918;0.031;127.609
2024-03-09 11:00:00;6.125;58.862;0.365;222.476
2024-03-09 12:00:00;4.868;56.92;0.009;123.813
2024-03-09 13:00:00;4.309;62.309;0.338;90.2855
2024-03-09 14:00:00;2.804;80.332;0.279;56.758
2024-03-09 15:00:00;2.876;84.481;0.22;70.133
2024-03-09 16:00:00;1.722;94.502;2.144;17.657
2024-03-09 17:00:00;1.847;95.704;0.915;19.309
2024-03-09 18:00:00;1.928;96.092;0.503;4.198
2024-03-09 19:00:00;1.965;97.524;0.289;2.099
2024-03-09 20:00:00;1.587;96.954;0.301;0.0
2024-03-09 21:00:00;1.904;96.932;0.313;0.0
2024-03-09 22:00:00;2.398;97.159;0.272;0.0
2024-03-09 23:00:00;2.735;97.559;0.22;0.0
2024-03-10 00:00:00;2.852;98.02;0.463;0.0
2024-03-10 01:00:00;2.93;100.003;0.614;0.0
2024-03-10 02:00:00;2.53;98.79;0.482;0.0
2024-03-10 03:00:00;2.131;97.576;0.349;0.0
2024-03-10 04:00:00;1.209;97.229;0.217;0.0
2024-03-10 05:00:00;0.496;98.502;0.466;0.0
2024-03-10 06:00:00;0.196;98.966;0.808;0.0
2024-03-10 07:00:00;0.1785;99.47;1.0815;4.477666666666667
2024-03-10 08:00:00;0.161;99.974;1.355;8.955333333333334
2024-03-10 09:00:00;0.255;99.781;1.293;13.433
2024-03-10 10:00:00;-0.182;99.576;1.231;32.322
2024-03-10 11:00:00;-2.32;93.983;0.471;56.668
2024-03-10 12:00:00;-3.172;91.557;0.287;83.114
2024-03-10 13:00:00;-3.481;90.625;0.592;98.707
2024-03-10 14:00:00;-1.942;93.213;0.591;101.2355
2024-03-10 15:00:00;-3.08;89.919;0.501;103.764
2024-03-10 16:00:00;-3.215;88.484;0.411;93.947
2024-03-10 17:00:00;-3.421;86.873;0.159;71.814
2024-03-10 18:00:00;-3.918;85.349;0.049;40.419
2024-03-10 19:00:00;-4.36;82.021;0.012;11.856
2024-03-10 20:00:00;-5.18;86.683;0.008;5.928
2024-03-10 21:00:00;-5.657;79.611;0.006;0.0
2024-03-10 22:00:00;-6.063;78.892;0.003;0.0
2024-03-10 23:00:00;-6.262;80.404;0.013;0.0
2024-03-11 00:00:00;-6.338;80.324;0.058;0.0
2024-03-11 01:00:00;-6.422;82.778;0.118;0.0
2024-03-11 02:00:00;-6.147;85.728;0.214;0.0
2024-03-11 03:00:00;-6.513;86.017;0.189;0.0
2024-03-11 04:00:00;-6.391;84.857;0.164;0.0
2024-03-11 05:00:00;-6.311;84.065;0.126;0.0
2024-03-11 06:00:00;-6.309;82.381;0.098;0.0
2024-03-11 07:00:00;-6.26;81.115;0.07;0.0
2024-03-11 08:00:00;-5.696;82.783;0.073;15.5315
2024-03-11 09:00:00;-5.528;76.643;0.037;31.063
2024-03-11 10:00:00;-4.964;74.2;0.0;68.002
2024-03-11 11:00:00;-4.057;70.685;0.0;157.832
2024-03-11 12:00:00;-3.48;68.527;0.0;225.834
2024-03-11 13:00:00;-2.607;65.888;0.0;284.114
2024-03-11 14:00:00;-0.634;58.896;0.0;469.6705
2024-03-11 15:00:00;0.969;51.157;0.0;655.227
2024-03-11 16:00:00;1.544;45.642;0.0;554.895
2024-03-11 17:00:00;1.773;44.473;0.0;406.184
2024-03-11 18:00:00;1.267;47.815;0.0;227.85
2024-03-11 19:00:00;-0.111;51.518;0.0;57.928
2024-03-11 20:00:00;-1.267;52.663;0.0;28.964
2024-03-11 21:00:00;-2.101;56.73;0.0;0.0
2024-03-11 22:00:00;-3.023;61.301;0.0;0.0
2024-03-11 23:00:00;-4.013;66.037;0.0;0.0
2024-03-12 00:00:00;-4.497;67.29;0.0;0.0
2024-03-12 01:00:00;-3.917;65.795;0.0;0.0
2024-03-12 02:00:00;-2.255;60.571;0.0;0.0
2024-03-12 03:00:00;-6.725;83.925;0.0;0.0
