Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.194;42.88;0.0;nan
2024-03-08 14:00:00;4.17;52.686;0.0;549.166
2024-03-08 15:00:00;1.355;63.448;0.0;420.035
2024-03-08 16:00:00;-0.069;63.698;0.0;258.724
2024-03-08 17:00:00;-1.806;74.371;0.0;91.894
2024-03-08 18:00:00;-3.743;85.086;0.0;2.519
2024-03-08 19:00:00;-4.078;86.799;0.0;1.2595
2024-03-08 20:00:00;-6.176;86.97;0.0;0.0
2024-03-08 21:00:00;-6.9;81.811;0.0;0.0
2024-03-08 22:00:00;-7.684;76.449;0.0;0.0
2024-03-08 23:00:00;-7.948;75.472;0.0;0.0
2024-03-09 00:00:00;-8.319;76.201;0.0;0.0
2024-03-09 01:00:00;-8.43;85.346;0.0;0.0
2024-03-09 02:00:00;-7.997;75.825;0.0;0.0
2024-03-09 03:00:00;-8.059;77.299;0.0;0.0
2024-03-09 04:00:00;-8.102;79.945;0.0;0.0
2024-03-09 05:00:00;-8.011;78.268;0.0;0.0
2024-03-09 06:00:00;-8.691;80.664;0.0;1.417
2024-03-09 07:00:00;-7.365;74.264;0.0;122.126
2024-03-09 08:00:00;-3.271;67.643;0.0;242.835
2024-03-09 09:00:00;-0.705;70.162;0.0;409.482
2024-03-09 10:00:00;-0.266;71.159;0.0;523.868
2024-03-09 11:00:00;0.333;71.682;0.0;617.056
2024-03-09 12:00:00;1.183;65.567;0.0;651.878
2024-03-09 13:00:00;1.098;62.909;0.0;543.6325
2024-03-09 14:00:00;1.237;67.88;0.0;435.387
2024-03-09 15:00:00;0.984;67.325;0.0;280.855
2024-03-09 16:00:00;0.498;67.639;0.0;171.292
2024-03-09 17:00:00;-0.33;66.696;0.0;54.57
2024-03-09 18:00:00;-1.167;66.692;0.0;1.679
2024-03-09 19:00:00;-1.391;69.808;0.0;0.8395
2024-03-09 20:00:00;-2.404;78.877;0.0;0.0
2024-03-09 21:00:00;-2.8;83.858;0.0;0.0
2024-03-09 22:00:00;-3.276;89.619;0.0;0.0
2024-03-09 23:00:00;-3.55;91.563;0.0;0.0
2024-03-10 00:00:00;-3.856;91.794;0.0;0.0
2024-03-10 01:00:00;-3.64;87.921;0.0;0.0
2024-03-10 02:00:00;-3.647;90.431;0.0;0.0
2024-03-10 03:00:00;-3.654;92.942;0.0;0.0
2024-03-10 04:00:00;-3.519;93.632;0.0;0.0
2024-03-10 05:00:00;-3.707;93.936;0.0;0.0
2024-03-10 06:00:00;-3.22;94.355;0.0;0.0
2024-03-10 07:00:00;-2.8680000000000003;94.3745;0.0;46.524
2024-03-10 08:00:00;-2.516;94.394;0.0;93.048
2024-03-10 09:00:00;-0.183;83.617;0.0;139.572
2024-03-10 10:00:00;0.478;78.524;0.0;223.525
2024-03-10 11:00:00;0.942;75.006;0.0;288.379
2024-03-10 12:00:00;1.434;72.004;0.0;334.973
2024-03-10 13:00:00;0.766;71.925;0.0;248.143
2024-03-10 14:00:00;0.046;77.326;0.0;185.0835
2024-03-10 15:00:00;-0.31;75.461;0.132;122.024
2024-03-10 16:00:00;-0.867;83.687;0.263;38.747
2024-03-10 17:00:00;-1.37;93.676;1.52;16.405
2024-03-10 18:00:00;-1.311;96.025;2.773;5.159
2024-03-10 19:00:00;-1.455;96.64;5.49;0.103
2024-03-10 20:00:00;-1.19;96.645;4.926;0.0515
2024-03-10 21:00:00;-0.994;96.351;4.209;0.0
2024-03-10 22:00:00;-1.098;95.932;3.493;0.0
2024-03-10 23:00:00;-0.596;91.38;1.63;0.0
2024-03-11 00:00:00;-0.801;94.666;2.338;0.0
2024-03-11 01:00:00;-0.789;95.76;1.825;0.0
2024-03-11 02:00:00;-0.681;93.844;1.428;0.0
2024-03-11 03:00:00;-0.361;90.675;0.813;0.0
2024-03-11 04:00:00;-0.248;92.351;0.198;0.0
2024-03-11 05:00:00;-0.143;93.842;0.224;0.0
2024-03-11 06:00:00;-0.074;94.441;0.387;0.0
2024-03-11 07:00:00;-0.111;94.419;0.316;0.944
2024-03-11 08:00:00;-0.01;93.205;0.058;48.535
2024-03-11 09:00:00;0.639;91.008;0.03;96.126
2024-03-11 10:00:00;0.89;90.318;0.002;141.461
2024-03-11 11:00:00;1.062;89.339;0.003;171.264
2024-03-11 12:00:00;1.268;88.404;0.004;197.29
2024-03-11 13:00:00;1.35;87.932;0.024;211.075
2024-03-11 14:00:00;1.592;86.128;0.019;186.4335
2024-03-11 15:00:00;0.844;92.708;0.045;161.792
2024-03-11 16:00:00;0.792;91.69;0.071;132.4
2024-03-11 17:00:00;0.653;90.567;0.02;82.964
2024-03-11 18:00:00;0.464;90.612;0.519;21.325
2024-03-11 19:00:00;0.089;95.537;0.842;0.84
2024-03-11 20:00:00;0.11;94.583;1.147;0.42
2024-03-11 21:00:00;-0.205;93.347;0.834;0.0
2024-03-11 22:00:00;-0.439;95.704;0.521;0.0
2024-03-11 23:00:00;-0.516;97.05;1.179;0.0
2024-03-12 00:00:00;-0.497;94.868;0.373;0.0
2024-03-12 01:00:00;-0.481;91.99;0.03;0.0
2024-03-12 02:00:00;-0.078;86.904;0.005;0.0
