Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;0.408;54.871;0.0;nan
2024-03-08 14:00:00;-0.369;55.684;0.0;601.847
2024-03-08 15:00:00;-0.344;54.617;0.0;487.407
2024-03-08 16:00:00;-2.017;63.283;0.0;330.924
2024-03-08 17:00:00;-4.216;76.608;0.0;155.698
2024-03-08 18:00:00;-4.899;75.562;0.0;18.47
2024-03-08 19:00:00;-1.463;59.959;0.0;9.235
2024-03-08 20:00:00;-1.984;60.153;0.0;0.0
2024-03-08 21:00:00;-3.313;66.384;0.0;0.0
2024-03-08 22:00:00;-4.079;72.529;0.0;0.0
2024-03-08 23:00:00;-3.777;89.445;0.0;0.0
2024-03-09 00:00:00;-4.098;92.826;0.0;0.0
2024-03-09 01:00:00;-3.103;68.906;0.0;0.0
2024-03-09 02:00:00;-4.647;65.333;0.0;0.0
2024-03-09 03:00:00;-4.531;77.437;0.0;0.0
2024-03-09 04:00:00;-3.8;86.609;0.0;0.0
2024-03-09 05:00:00;-4.143;81.588;0.0;0.0
2024-03-09 06:00:00;-4.19;76.79;0.0;0.0
2024-03-09 07:00:00;-1.816;74.218;0.0;60.1315
2024-03-09 08:00:00;-0.997;68.75;0.0;120.263
2024-03-09 09:00:00;1.297;63.659;0.0;225.204
2024-03-09 10:00:00;2.486;58.8;0.0;321.96
2024-03-09 11:00:00;2.972;58.447;0.0;389.543
2024-03-09 12:00:00;3.411;58.695;0.0;337.054
2024-03-09 13:00:00;3.849;54.723;0.0;307.514
2024-03-09 14:00:00;2.792;61.032;0.0;277.974
2024-03-09 15:00:00;2.743;61.399;0.0;376.562
2024-03-09 16:00:00;1.694;61.713;0.0;168.353
2024-03-09 17:00:00;0.753;63.468;0.0;63.804
2024-03-09 18:00:00;0.19;64.917;0.0;6.716
2024-03-09 19:00:00;1.637;58.786;0.0;3.358
2024-03-09 20:00:00;0.896;63.474;0.121;0.0
2024-03-09 21:00:00;0.993;66.334;0.242;0.0
2024-03-09 22:00:00;1.204;66.561;0.212;0.0
2024-03-09 23:00:00;1.07;76.598;0.81;0.0
2024-03-10 00:00:00;0.763;93.109;1.953;0.0
2024-03-10 01:00:00;0.525;95.53;3.093;0.0
2024-03-10 02:00:00;0.414;96.23;3.242;0.0
2024-03-10 03:00:00;0.303;96.931;3.392;0.0
2024-03-10 04:00:00;0.1;98.705;3.541;0.0
2024-03-10 05:00:00;-0.064;99.655;3.057;0.0
2024-03-10 06:00:00;-0.134;99.497;2.914;0.0
2024-03-10 07:00:00;-0.042;99.5855;3.369;5.107
2024-03-10 08:00:00;0.05;99.674;3.824;10.214
2024-03-10 09:00:00;0.042;98.652;3.605;15.321
2024-03-10 10:00:00;0.491;96.417;3.385;36.31
2024-03-10 11:00:00;0.093;95.251;1.994;39.038
2024-03-10 12:00:00;0.326;93.425;2.163;41.137
2024-03-10 13:00:00;0.663;92.355;1.43;76.879
2024-03-10 14:00:00;0.868;93.328;1.705;77.30850000000001
2024-03-10 15:00:00;0.814;89.573;1.032;77.738
2024-03-10 16:00:00;1.189;87.561;0.358;67.501
2024-03-10 17:00:00;1.242;93.768;0.346;58.802
2024-03-10 18:00:00;1.008;94.941;0.313;19.431
2024-03-10 19:00:00;0.9;95.972;0.605;2.621
2024-03-10 20:00:00;0.929;97.152;0.621;1.3105
2024-03-10 21:00:00;0.353;98.173;1.045;0.0
2024-03-10 22:00:00;0.156;98.768;1.469;0.0
2024-03-10 23:00:00;0.118;99.081;1.058;0.0
2024-03-11 00:00:00;0.053;99.624;0.688;0.0
2024-03-11 01:00:00;-0.111;99.657;0.434;0.0
2024-03-11 02:00:00;0.245;98.364;0.224;0.0
2024-03-11 03:00:00;-0.081;99.76;0.279;0.0
2024-03-11 04:00:00;-0.194;99.545;0.334;0.0
2024-03-11 05:00:00;-0.396;98.961;0.773;0.0
2024-03-11 06:00:00;-0.564;98.96;0.96;0.0
2024-03-11 07:00:00;-0.585;98.939;0.719;0.0
2024-03-11 08:00:00;-0.186;99.8;0.168;26.2355
2024-03-11 09:00:00;0.581;97.88;0.085;52.471
2024-03-11 10:00:00;1.602;92.509;0.002;135.584
2024-03-11 11:00:00;2.734;84.22;0.012;166.227
2024-03-11 12:00:00;3.035;77.105;0.082;157.832
2024-03-11 13:00:00;2.768;70.546;0.002;137.196
2024-03-11 14:00:00;3.219;63.393;0.0;209.9405
2024-03-11 15:00:00;3.615;62.294;0.001;282.685
2024-03-11 16:00:00;2.621;66.533;0.002;156.327
2024-03-11 17:00:00;1.792;67.439;0.001;97.656
2024-03-11 18:00:00;0.892;71.934;0.001;35.597
2024-03-11 19:00:00;0.088;73.7;0.0;5.037
2024-03-11 20:00:00;0.187;69.565;0.0;2.5185
2024-03-11 21:00:00;-0.758;68.72;0.0;0.0
2024-03-11 22:00:00;-0.772;65.105;0.0;0.0
2024-03-11 23:00:00;-1.034;63.616;0.0;0.0
2024-03-12 00:00:00;-1.204;63.231;0.0;0.0
2024-03-12 01:00:00;-1.915;65.542;0.0;0.0
2024-03-12 02:00:00;-1.68;63.5;0.0;0.0
2024-03-12 03:00:00;-1.788;67.484;0.0;0.0
