Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;6.318;64.924;0.0;nan
2024-03-08 14:00:00;6.501;65.829;0.0;638.366
2024-03-08 15:00:00;6.793;61.419;0.0;531.482
2024-03-08 16:00:00;6.504;60.677;0.0;368.703
2024-03-08 17:00:00;5.705;63.903;0.0;182.563
2024-03-08 18:00:00;3.834;68.668;0.0;36.1
2024-03-08 19:00:00;2.933;75.962;0.0;18.05
2024-03-08 20:00:00;0.397;85.702;0.0;0.0
2024-03-08 21:00:00;-0.464;86.053;0.0;0.0
2024-03-08 22:00:00;-1.598;88.809;0.0;0.0
2024-03-08 23:00:00;-1.704;89.906;0.0;0.0
2024-03-09 00:00:00;-1.386;91.304;0.0;0.0
2024-03-09 01:00:00;-0.255;79.489;0.0;0.0
2024-03-09 02:00:00;-0.748;80.367;0.0;0.0
2024-03-09 03:00:00;-0.685;80.688;0.0;0.0
2024-03-09 04:00:00;-0.82;82.827;0.0;0.0
2024-03-09 05:00:00;-1.079;85.946;0.0;0.0
2024-03-09 06:00:00;-0.615;84.192;0.0;0.0
2024-03-09 07:00:00;2.778;65.686;0.0;36.31
2024-03-09 08:00:00;2.037;74.93;0.0;72.62
2024-03-09 09:00:00;3.57;73.413;0.0;177.561
2024-03-09 10:00:00;5.213;70.468;0.0;272.008
2024-03-09 11:00:00;5.778;63.22;0.004;165.388
2024-03-09 12:00:00;5.554;61.255;0.014;138.924
2024-03-09 13:00:00;6.374;57.167;0.649;96.3715
2024-03-09 14:00:00;4.02;76.066;0.621;53.819
2024-03-09 15:00:00;3.751;80.999;0.593;37.811
2024-03-09 16:00:00;3.543;83.919;1.14;21.015
2024-03-09 17:00:00;3.081;93.398;1.416;21.828
2024-03-09 18:00:00;3.198;94.893;2.792;5.037
2024-03-09 19:00:00;4.727;85.811;2.335;2.5185
2024-03-09 20:00:00;3.302;94.787;2.295;0.0
2024-03-09 21:00:00;3.432;94.719;2.254;0.0
2024-03-09 22:00:00;3.408;93.516;1.839;0.0
2024-03-09 23:00:00;3.179;93.8;1.018;0.0
2024-03-10 00:00:00;3.126;94.492;1.524;0.0
2024-03-10 01:00:00;3.494;91.979;1.126;0.0
2024-03-10 02:00:00;3.041;94.19;1.744;0.0
2024-03-10 03:00:00;2.587;96.4;2.362;0.0
2024-03-10 04:00:00;2.006;98.244;2.981;0.0
2024-03-10 05:00:00;1.251;99.655;4.408;0.0
2024-03-10 06:00:00;1.283;98.021;0.238;0.0
2024-03-10 07:00:00;1.404;96.9225;0.2269999999999999;7.975666666666666
2024-03-10 08:00:00;1.525;95.824;0.216;15.951333333333332
2024-03-10 09:00:00;0.64;99.067;0.328;23.927
2024-03-10 10:00:00;0.715;99.715;0.44;47.014
2024-03-10 11:00:00;1.008;99.632;0.444;65.903
2024-03-10 12:00:00;1.389;99.628;0.443;75.558
2024-03-10 13:00:00;1.254;99.711;0.654;76.879
2024-03-10 14:00:00;2.138;93.582;0.939;73.531
2024-03-10 15:00:00;0.72;99.765;0.939;70.183
2024-03-10 16:00:00;0.322;96.669;0.938;55.748
2024-03-10 17:00:00;-0.691;96.535;0.905;44.53
2024-03-10 18:00:00;-1.632;95.679;0.768;30.345
2024-03-10 19:00:00;-2.338;95.049;0.803;5.14
2024-03-10 20:00:00;-2.08;92.679;0.987;2.57
2024-03-10 21:00:00;-2.891;94.276;1.021;0.0
2024-03-10 22:00:00;-3.036;94.733;1.056;0.0
2024-03-10 23:00:00;-3.328;93.893;1.222;0.0
2024-03-11 00:00:00;-3.842;91.876;0.995;0.0
2024-03-11 01:00:00;-4.294;91.494;0.87;0.0
2024-03-11 02:00:00;-3.671;90.57;0.664;0.0
2024-03-11 03:00:00;-3.926;84.08;0.348;0.0
2024-03-11 04:00:00;-3.888;83.128;0.032;0.0
2024-03-11 05:00:00;-3.79;82.635;0.011;0.0
2024-03-11 06:00:00;-3.763;82.497;0.001;0.0
2024-03-11 07:00:00;-3.692;82.521;0.003;0.0
