Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;5.247;52.819;0.0;nan
2024-03-08 14:00:00;5.995;50.219;0.0;633.119
2024-03-08 15:00:00;5.883;51.942;0.0;520.359
2024-03-08 16:00:00;5.299;55.097;0.0;365.764
2024-03-08 17:00:00;3.086;64.94;0.0;184.242
2024-03-08 18:00:00;0.919;73.695;0.0;31.902
2024-03-08 19:00:00;0.954;71.811;0.0;15.951
2024-03-08 20:00:00;-0.642;78.116;0.0;0.0
2024-03-08 21:00:00;-1.172;80.196;0.0;0.0
2024-03-08 22:00:00;-1.58;80.946;0.0;0.0
2024-03-08 23:00:00;-2.034;78.331;0.0;0.0
2024-03-09 00:00:00;-1.497;78.53;0.0;0.0
2024-03-09 01:00:00;-0.598;77.137;0.0;0.0
2024-03-09 02:00:00;-1.009;74.603;0.0;0.0
2024-03-09 03:00:00;-1.104;71.788;0.0;0.0
2024-03-09 04:00:00;-1.061;75.841;0.0;0.0
2024-03-09 05:00:00;-0.422;73.725;0.0;0.0
2024-03-09 06:00:00;0.364;69.065;0.0;0.0
2024-03-09 07:00:00;4.137;49.753;0.0;57.718
2024-03-09 08:00:00;2.073;63.285;0.0;115.436
2024-03-09 09:00:00;3.465;61.376;0.0;190.993
2024-03-09 10:00:00;4.573;59.054;0.0;288.799
2024-03-09 11:00:00;5.548;57.363;0.0;410.531
2024-03-09 12:00:00;5.183;57.658;0.0;305.991
2024-03-09 13:00:00;6.753;43.724;0.012;196.591
2024-03-09 14:00:00;3.02;82.361;0.203;87.191
2024-03-09 15:00:00;2.514;83.651;0.395;47.675
2024-03-09 16:00:00;1.807;85.233;0.748;22.275
2024-03-09 17:00:00;1.418;89.086;1.054;12.593
2024-03-09 18:00:00;1.555;94.04;1.894;1.679
2024-03-09 19:00:00;2.494;91.045;4.229;0.8395
2024-03-09 20:00:00;1.464;97.116;3.135;0.0
2024-03-09 21:00:00;1.824;96.932;2.04;0.0
2024-03-09 22:00:00;1.956;96.398;2.138;0.0
2024-03-09 23:00:00;1.833;95.737;0.53;0.0
2024-03-10 00:00:00;1.708;96.729;0.671;0.0
2024-03-10 01:00:00;2.082;95.207;1.555;0.0
2024-03-10 02:00:00;1.81;96.553;1.634;0.0
2024-03-10 03:00:00;1.538;97.899;1.713;0.0
2024-03-10 04:00:00;0.825;98.589;1.793;0.0
2024-03-10 05:00:00;0.073;99.839;5.841;0.0
2024-03-10 06:00:00;0.092;99.543;3.369;0.0
2024-03-10 07:00:00;0.269;99.3435;2.1475;10.564
2024-03-10 08:00:00;0.446;99.144;0.926;21.128
2024-03-10 09:00:00;0.003;99.712;0.538;31.692
2024-03-10 10:00:00;0.128;99.761;0.151;54.36
2024-03-10 11:00:00;0.27;99.747;0.043;53.31
2024-03-10 12:00:00;0.383;99.743;0.026;62.125
2024-03-10 13:00:00;0.735;99.434;0.02;102.065
2024-03-10 14:00:00;2.124;96.164;0.01;84.13
2024-03-10 15:00:00;0.312;99.88;0.007;66.195
2024-03-10 16:00:00;0.261;99.828;0.005;47.143
2024-03-10 17:00:00;0.263;99.855;0.029;27.739
2024-03-10 18:00:00;0.183;99.829;0.33;11.036
2024-03-10 19:00:00;-1.071;98.785;0.55;3.461
2024-03-10 20:00:00;-0.945;98.581;0.533;1.7305
2024-03-10 21:00:00;-2.273;96.974;0.528;0.0
2024-03-10 22:00:00;-2.565;96.693;0.523;0.0
2024-03-10 23:00:00;-2.786;96.36;0.668;0.0
2024-03-11 00:00:00;-3.175;95.081;0.587;0.0
2024-03-11 01:00:00;-3.711;92.486;0.425;0.0
2024-03-11 02:00:00;-3.177;90.316;0.246;0.0
2024-03-11 03:00:00;-4.178;86.27;0.154;0.0
2024-03-11 04:00:00;-4.209;81.813;0.062;0.0
2024-03-11 05:00:00;-4.479;87.339;0.162;0.0
2024-03-11 06:00:00;-4.566;85.264;0.263;0.0
2024-03-11 07:00:00;-4.63;84.135;0.258;0.0
2024-03-11 08:00:00;-3.684;79.739;0.181;26.97
2024-03-11 09:00:00;-3.862;79.295;0.119;53.94
2024-03-11 10:00:00;-3.095;77.106;0.056;122.782
2024-03-11 11:00:00;-2.15;73.683;0.05;200.228
2024-03-11 12:00:00;-1.385;69.519;0.026;271.169
2024-03-11 13:00:00;-0.34;65.888;0.019;410.883
2024-03-11 14:00:00;0.003;66.575;0.006;351.1915
2024-03-11 15:00:00;-0.175;68.52;0.003;291.5
2024-03-11 16:00:00;0.102;69.346;0.0;195.365
2024-03-11 17:00:00;0.758;67.946;0.0;181.609
2024-03-11 18:00:00;0.425;68.106;0.0;191.75
2024-03-11 19:00:00;-0.208;68.282;0.0;39.458
2024-03-11 20:00:00;0.688;54.577;0.0;19.729
2024-03-11 21:00:00;-1.098;64.178;0.0;0.0
2024-03-11 22:00:00;-1.464;64.598;0.0;0.0
2024-03-11 23:00:00;-1.724;65.414;0.0;0.0
2024-03-12 00:00:00;-2.109;66.69;0.0;0.0
2024-03-12 01:00:00;-2.549;67.456;0.0;0.0
2024-03-12 02:00:00;-0.448;54.438;0.0;0.0
2024-03-12 03:00:00;-3.371;67.645;0.0;0.0
