Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;-0.167;68.545;0.0;nan
2024-03-08 14:00:00;-0.587;73.392;0.0;578.55
2024-03-08 15:00:00;-0.899;69.974;0.0;460.332
2024-03-08 16:00:00;-1.444;68.309;0.0;305.738
2024-03-08 17:00:00;-2.497;70.797;0.0;133.031
2024-03-08 18:00:00;-4.055;75.516;0.0;12.593
2024-03-08 19:00:00;-3.738;70.428;0.0;6.2965
2024-03-08 20:00:00;-5.951;77.77;0.0;0.0
2024-03-08 21:00:00;-6.167;78.582;0.0;0.0
2024-03-08 22:00:00;-6.586;77.395;0.0;0.0
2024-03-08 23:00:00;-6.612;74.849;0.0;0.0
2024-03-09 00:00:00;-7.012;75.694;0.0;0.0
2024-03-09 01:00:00;-5.677;74.094;0.0;0.0
2024-03-09 02:00:00;-5.97;73.311;0.0;0.0
2024-03-09 03:00:00;-5.652;76.722;0.0;0.0
2024-03-09 04:00:00;-6.528;78.4;0.0;0.0
2024-03-09 05:00:00;-6.203;77.507;0.0;0.0
2024-03-09 06:00:00;-6.043;79.995;0.0;0.0
2024-03-09 07:00:00;-3.586;79.937;0.0;58.6625
2024-03-09 08:00:00;-1.836;71.702;0.0;117.325
2024-03-09 09:00:00;0.871;62.944;0.0;289.848
2024-03-09 10:00:00;2.687;56.702;0.0;443.273
2024-03-09 11:00:00;4.093;51.714;0.0;497.842
2024-03-09 12:00:00;5.124;49.08;0.0;519.232
2024-03-09 13:00:00;5.745;40.45;0.0;411.826
2024-03-09 14:00:00;5.35;44.914;0.0;304.42
2024-03-09 15:00:00;4.385;48.879;0.0;174.654
2024-03-09 16:00:00;3.537;48.501;0.0;96.993
2024-03-09 17:00:00;2.754;49.772;0.0;50.372
2024-03-09 18:00:00;1.897;52.857;0.0;6.716
2024-03-09 19:00:00;2.466;51.915;0.0;3.358
2024-03-09 20:00:00;0.795;58.101;0.0;0.0
2024-03-09 21:00:00;0.63;59.116;0.0;0.0
2024-03-09 22:00:00;0.565;61.58;0.0;0.0
2024-03-09 23:00:00;0.489;64.539;0.0;0.0
2024-03-10 00:00:00;0.405;65.761;0.0;0.0
2024-03-10 01:00:00;1.021;64.24;0.0;0.0
2024-03-10 02:00:00;0.651;68.722;0.032;0.0
2024-03-10 03:00:00;0.282;73.204;0.064;0.0
2024-03-10 04:00:00;0.169;74.908;0.096;0.0
2024-03-10 05:00:00;0.096;76.596;0.009;0.0
2024-03-10 06:00:00;0.141;76.853;0.001;0.0
2024-03-10 07:00:00;-0.0839999999999999;85.4735;0.2965;6.366333333333333
2024-03-10 08:00:00;-0.309;94.094;0.592;12.732666666666669
2024-03-10 09:00:00;-0.589;92.541;0.328;19.099
2024-03-10 10:00:00;-0.174;89.707;0.064;51.421
2024-03-10 11:00:00;-0.35;93.752;0.16;39.458
2024-03-10 12:00:00;-0.466;97.483;0.642;42.816
2024-03-10 13:00:00;-0.376;98.442;3.036;39.939
2024-03-10 14:00:00;-0.39;99.577;3.374;64.6105
2024-03-10 15:00:00;0.063;99.28;2.577;89.282
2024-03-10 16:00:00;0.149;99.69;1.78;57.637
2024-03-10 17:00:00;0.188;99.486;1.559;42.85
2024-03-10 18:00:00;0.317;98.515;0.588;30.345
2024-03-10 19:00:00;0.301;98.301;0.767;2.621
2024-03-10 20:00:00;0.145;99.965;0.104;1.3105
2024-03-10 21:00:00;-0.389;98.911;0.091;0.0
2024-03-10 22:00:00;-0.534;98.537;0.079;0.0
2024-03-10 23:00:00;-0.547;98.436;0.336;0.0
2024-03-11 00:00:00;-0.672;97.572;0.298;0.0
2024-03-11 01:00:00;-0.874;96.498;0.181;0.0
2024-03-11 02:00:00;-1.044;98.94;0.451;0.0
2024-03-11 03:00:00;-1.041;96.624;0.301;0.0
2024-03-11 04:00:00;-0.955;95.072;0.152;0.0
2024-03-11 05:00:00;-0.875;95.502;0.014;0.0
2024-03-11 06:00:00;-0.773;96.101;0.032;0.0
2024-03-11 07:00:00;-0.749;97.302;0.138;0.0
