Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;2.335;74.24;0.0;nan
2024-03-08 14:00:00;3.091;71.179;0.0;653.898
2024-03-08 15:00:00;3.467;68.175;0.0;544.915
2024-03-08 16:00:00;3.67;67.249;0.0;369.962
2024-03-08 17:00:00;3.349;70.774;0.0;186.761
2024-03-08 18:00:00;1.792;72.819;0.0;40.297
2024-03-08 19:00:00;2.029;75.777;0.0;20.1485
2024-03-08 20:00:00;0.952;78.554;0.0;0.0
2024-03-08 21:00:00;0.21;79.689;0.0;0.0
2024-03-08 22:00:00;-0.151;81.176;0.0;0.0
2024-03-08 23:00:00;-0.262;82.92;0.0;0.0
2024-03-09 00:00:00;-0.675;84.802;0.0;0.0
2024-03-09 01:00:00;-0.633;91.595;0.0;0.0
2024-03-09 02:00:00;-0.913;85.348;0.0;0.0
2024-03-09 03:00:00;-0.804;84.516;0.0;0.0
2024-03-09 04:00:00;-0.881;84.626;0.0;0.0
2024-03-09 05:00:00;-0.451;83.041;0.0;0.0
2024-03-09 06:00:00;0.034;81.471;0.0;0.0
2024-03-09 07:00:00;2.591;71.29;0.0;41.8715
2024-03-09 08:00:00;2.078;76.244;0.0;83.743
2024-03-09 09:00:00;2.95;77.01;0.0;180.709
2024-03-09 10:00:00;3.77;76.255;0.0;209.883
2024-03-09 11:00:00;4.384;73.573;0.0;288.799
2024-03-09 12:00:00;4.404;68.864;0.245;138.924
2024-03-09 13:00:00;6.16;52.855;0.725;109.6995
2024-03-09 14:00:00;3.96;79.018;0.455;80.475
2024-03-09 15:00:00;3.226;83.443;0.184;39.7
2024-03-09 16:00:00;2.82;87.677;1.581;37.806
2024-03-09 17:00:00;2.85;91.853;1.492;15.951
2024-03-09 18:00:00;2.744;95.884;1.651;4.198
2024-03-09 19:00:00;4.054;86.987;0.922;2.099
2024-03-09 20:00:00;2.983;94.626;1.541;0.0
2024-03-09 21:00:00;3.167;94.534;2.16;0.0
2024-03-09 22:00:00;3.148;94.508;1.675;0.0
2024-03-09 23:00:00;2.849;96.452;1.559;0.0
2024-03-10 00:00:00;2.584;97.236;1.329;0.0
2024-03-10 01:00:00;2.831;93.985;0.926;0.0
2024-03-10 02:00:00;2.404;95.654;1.002;0.0
2024-03-10 03:00:00;1.976;97.323;1.078;0.0
2024-03-10 04:00:00;1.94;98.935;1.154;0.0
2024-03-10 05:00:00;1.048;99.908;3.347;0.0
2024-03-10 06:00:00;0.133;99.589;1.838;0.0
2024-03-10 07:00:00;0.381;98.3175;1.51;5.527
2024-03-10 08:00:00;0.629;97.046;1.182;11.054
2024-03-10 09:00:00;0.202;99.597;1.041;16.581
2024-03-10 10:00:00;0.14;99.646;0.9;37.569
2024-03-10 11:00:00;0.101;99.655;0.75;62.545
2024-03-10 12:00:00;0.15;99.605;0.678;85.632
2024-03-10 13:00:00;0.182;99.595;0.759;93.669
2024-03-10 14:00:00;1.54;94.25;1.211;82.975
2024-03-10 15:00:00;0.277;98.427;1.036;72.281
2024-03-10 16:00:00;-0.49;97.546;0.861;65.822
2024-03-10 17:00:00;-1.334;96.742;0.673;60.9
2024-03-10 18:00:00;-2.063;95.702;0.565;33.703
2024-03-10 19:00:00;-2.537;94.104;0.324;8.498
2024-03-10 20:00:00;-2.347;93.186;0.526;4.249
2024-03-10 21:00:00;-3.005;94.276;0.521;0.0
2024-03-10 22:00:00;-3.045;91.02;0.517;0.0
2024-03-10 23:00:00;-2.821;79.435;0.122;0.0
2024-03-11 00:00:00;-3.251;77.211;0.004;0.0
2024-03-11 01:00:00;-3.51;76.76;0.009;0.0
2024-03-11 02:00:00;-3.0;78.764;0.004;0.0
2024-03-11 03:00:00;-3.334;77.623;0.002;0.0
2024-03-11 04:00:00;-3.245;76.856;0.001;0.0
2024-03-11 05:00:00;-3.087;76.571;0.0;0.0
2024-03-11 06:00:00;-2.997;76.409;0.0;0.0
2024-03-11 07:00:00;-2.912;76.111;0.0;0.0
2024-03-11 08:00:00;-1.913;75.519;0.0;24.2415
2024-03-11 09:00:00;-2.399;75.029;0.0;48.483
2024-03-11 10:00:00;-2.056;74.408;0.0;91.299
2024-03-11 11:00:00;-1.613;73.59;0.0;133.905
2024-03-11 12:00:00;-1.1;72.77;0.0;158.672
2024-03-11 13:00:00;-0.273;71.169;0.0;336.165
2024-03-11 14:00:00;0.946;65.837;0.0;500.3135
2024-03-11 15:00:00;1.842;65.937;0.0;664.462
2024-03-11 16:00:00;2.863;61.391;0.0;533.487
2024-03-11 17:00:00;3.201;57.801;0.0;408.282
2024-03-11 18:00:00;2.456;60.244;0.0;221.973
2024-03-11 19:00:00;0.825;60.695;0.0;52.051
2024-03-11 20:00:00;1.269;46.276;0.0;26.0255
2024-03-11 21:00:00;-0.79;59.751;0.0;0.0
2024-03-11 22:00:00;-1.004;61.093;0.0;0.0
2024-03-11 23:00:00;-0.64;62.001;0.0;0.0
2024-03-12 00:00:00;-0.518;63.877;0.0;0.0
2024-03-12 01:00:00;-0.516;66.464;0.0;0.0
2024-03-12 02:00:00;1.381;55.729;0.0;0.0
2024-03-12 03:00:00;-0.597;71.15;0.0;0.0
