Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.949;49.06;0.0;nan
2024-03-08 14:00:00;5.753;50.265;0.0;638.366
2024-03-08 15:00:00;6.062;49.475;0.0;531.902
2024-03-08 16:00:00;5.918;48.802;0.0;375.839
2024-03-08 17:00:00;4.989;52.189;0.0;184.242
2024-03-08 18:00:00;3.098;60.159;0.0;36.939
2024-03-08 19:00:00;3.483;60.052;0.0;18.4695
2024-03-08 20:00:00;2.209;63.773;0.0;0.0
2024-03-08 21:00:00;2.025;63.479;0.0;0.0
2024-03-08 22:00:00;1.311;63.836;0.0;0.0
2024-03-08 23:00:00;1.352;66.156;0.0;0.0
2024-03-09 00:00:00;1.319;68.753;0.0;0.0
2024-03-09 01:00:00;1.647;70.404;0.0;0.0
2024-03-09 02:00:00;0.115;74.764;0.0;0.0
2024-03-09 03:00:00;0.182;74.993;0.0;0.0
2024-03-09 04:00:00;-0.05;74.642;0.0;0.0
2024-03-09 05:00:00;-0.442;76.054;0.0;0.0
2024-03-09 06:00:00;-0.112;77.32;0.0;0.0
2024-03-09 07:00:00;3.339;64.188;0.0;51.1065
2024-03-09 08:00:00;2.381;70.387;0.0;102.213
2024-03-09 09:00:00;3.577;64.651;0.0;200.018
2024-03-09 10:00:00;4.139;61.383;0.0;258.576
2024-03-09 11:00:00;4.63;58.262;0.0;256.897
2024-03-09 12:00:00;4.777;56.412;0.027;243.866
2024-03-09 13:00:00;4.8;56.683;0.715;142.756
2024-03-09 14:00:00;3.669;66.197;0.537;41.646
2024-03-09 15:00:00;3.313;71.983;0.36;24.378
2024-03-09 16:00:00;3.545;76.794;0.253;23.954
2024-03-09 17:00:00;2.95;84.567;1.37;9.235
2024-03-09 18:00:00;2.574;93.648;1.812;1.679
2024-03-09 19:00:00;3.728;87.655;1.227;0.8395
2024-03-09 20:00:00;2.519;94.81;1.077;0.0
2024-03-09 21:00:00;2.538;95.065;0.926;0.0
2024-03-09 22:00:00;2.524;94.831;1.496;0.0
2024-03-09 23:00:00;2.372;95.16;0.661;0.0
2024-03-10 00:00:00;2.377;95.76;0.83;0.0
2024-03-10 01:00:00;2.806;93.409;0.731;0.0
2024-03-10 02:00:00;2.257;94.651;1.084;0.0
2024-03-10 03:00:00;1.707;95.893;1.437;0.0
2024-03-10 04:00:00;0.572;99.973;1.789;0.0
2024-03-10 05:00:00;0.104;99.747;7.367;0.0
2024-03-10 06:00:00;0.143;99.704;3.559;0.0
2024-03-10 07:00:00;0.3405;98.94;2.209;8.255333333333333
2024-03-10 08:00:00;0.538;98.176;0.859;16.510666666666665
2024-03-10 09:00:00;0.141;99.574;0.61;24.766
2024-03-10 10:00:00;0.109;99.761;0.361;46.174
2024-03-10 11:00:00;0.109;99.77;0.642;64.224
2024-03-10 12:00:00;0.23;99.72;0.567;86.472
2024-03-10 13:00:00;0.303;99.711;0.436;97.867
2024-03-10 14:00:00;1.485;94.02;0.381;97.982
2024-03-10 15:00:00;0.681;99.649;0.24;98.097
2024-03-10 16:00:00;0.905;99.044;0.099;74.008
2024-03-10 17:00:00;0.172;94.805;0.091;36.974
2024-03-10 18:00:00;-0.729;94.203;0.069;21.11
2024-03-10 19:00:00;-1.436;94.335;0.317;5.98
2024-03-10 20:00:00;-1.267;95.169;0.467;2.99
2024-03-10 21:00:00;-2.403;95.014;0.59;0.0
2024-03-10 22:00:00;-2.808;93.511;0.713;0.0
2024-03-10 23:00:00;-3.216;90.342;0.532;0.0
2024-03-11 00:00:00;-3.436;82.584;0.234;0.0
2024-03-11 01:00:00;-3.599;78.628;0.068;0.0
2024-03-11 02:00:00;-2.995;79.779;0.002;0.0
2024-03-11 03:00:00;-3.798;77.347;0.001;0.0
2024-03-11 04:00:00;-3.825;76.833;0.0;0.0
2024-03-11 05:00:00;-3.844;77.078;0.0;0.0
2024-03-11 06:00:00;-3.884;76.501;0.0;0.0
2024-03-11 07:00:00;-3.885;76.341;0.0;0.0
