Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;6.43;38.107;0.0;nan
2024-03-08 14:00:00;7.031;37.56;0.0;617.168
2024-03-08 15:00:00;7.136;37.899;0.0;503.148
2024-03-08 16:00:00;6.669;39.924;0.0;346.875
2024-03-08 17:00:00;5.379;43.404;0.0;169.131
2024-03-08 18:00:00;2.477;46.463;0.0;23.507
2024-03-08 19:00:00;2.558;44.602;0.0;11.7535
2024-03-08 20:00:00;-0.684;55.38;0.0;0.0
2024-03-08 21:00:00;-0.415;55.662;0.0;0.0
2024-03-08 22:00:00;0.947;54.382;0.0;0.0
2024-03-08 23:00:00;1.31;53.382;0.0;0.0
2024-03-09 00:00:00;0.873;55.057;0.0;0.0
2024-03-09 01:00:00;1.071;54.748;0.0;0.0
2024-03-09 02:00:00;0.608;56.779;0.0;0.0
2024-03-09 03:00:00;0.538;57.653;0.0;0.0
2024-03-09 04:00:00;-0.02;58.224;0.0;0.0
2024-03-09 05:00:00;-0.278;57.723;0.0;0.0
2024-03-09 06:00:00;-0.639;61.087;0.0;0.0
2024-03-09 07:00:00;1.416;55.933;0.0;50.372
2024-03-09 08:00:00;0.996;60.726;0.0;100.744
2024-03-09 09:00:00;2.633;57.987;0.0;188.055
2024-03-09 10:00:00;4.273;53.773;0.0;278.725
2024-03-09 11:00:00;5.393;50.238;0.0;316.503
2024-03-09 12:00:00;6.23;45.391;0.0;429.402
2024-03-09 13:00:00;7.463;39.158;0.0;391.677
2024-03-09 14:00:00;6.854;42.816;0.002;353.952
2024-03-09 15:00:00;6.035;43.691;0.004;214.952
2024-03-09 16:00:00;5.29;46.979;0.065;75.165
2024-03-09 17:00:00;4.428;52.031;0.016;31.063
2024-03-09 18:00:00;3.72;55.924;0.007;5.037
2024-03-09 19:00:00;2.895;79.793;0.951;2.5185
2024-03-09 20:00:00;1.326;91.213;1.258;0.0
2024-03-09 21:00:00;1.212;93.635;1.566;0.0
2024-03-09 22:00:00;1.215;94.9;1.162;0.0
2024-03-09 23:00:00;1.377;96.06;1.444;0.0
2024-03-10 00:00:00;1.6;95.414;0.816;0.0
2024-03-10 01:00:00;1.368;92.971;1.002;0.0
2024-03-10 02:00:00;1.145;94.432;0.952;0.0
2024-03-10 03:00:00;0.923;95.893;0.903;0.0
2024-03-10 04:00:00;1.0;95.569;0.853;0.0
2024-03-10 05:00:00;1.251;95.827;3.243;0.0
2024-03-10 06:00:00;1.105;96.315;2.595;0.0
2024-03-10 07:00:00;0.758;96.7035;3.1265;3.778
2024-03-10 08:00:00;0.411;97.092;3.658;7.556
2024-03-10 09:00:00;-0.354;98.329;2.685;11.334
2024-03-10 10:00:00;-0.229;97.524;1.711;25.606
2024-03-10 11:00:00;0.194;97.073;0.631;52.051
2024-03-10 12:00:00;0.677;98.083;0.943;74.718
2024-03-10 13:00:00;0.865;98.235;0.588;97.027
2024-03-10 14:00:00;1.151;96.026;0.382;83.08
2024-03-10 15:00:00;0.838;97.044;0.243;69.133
2024-03-10 16:00:00;0.571;96.254;0.104;79.045
2024-03-10 17:00:00;0.074;97.987;0.14;34.035
2024-03-10 18:00:00;-0.314;99.299;0.096;15.233
2024-03-10 19:00:00;-0.613;99.315;0.046;5.14
2024-03-10 20:00:00;-0.282;97.936;0.007;2.57
2024-03-10 21:00:00;-0.664;99.441;0.093;0.0
2024-03-10 22:00:00;-0.748;99.39;0.178;0.0
2024-03-10 23:00:00;-0.772;99.381;0.58;0.0
2024-03-11 00:00:00;-1.012;99.232;0.784;0.0
2024-03-11 01:00:00;-1.54;98.619;0.628;0.0
2024-03-11 02:00:00;-1.404;94.236;0.939;0.0
2024-03-11 03:00:00;-2.577;96.116;1.062;0.0
2024-03-11 04:00:00;-3.046;95.533;1.185;0.0
2024-03-11 05:00:00;-3.436;95.064;1.109;0.0
2024-03-11 06:00:00;-3.719;94.718;1.052;0.0
2024-03-11 07:00:00;-3.925;94.465;1.096;0.0
