Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;6.703;49.198;0.0;nan
2024-03-08 14:00:00;7.015;51.671;0.0;636.267
2024-03-08 15:00:00;6.951;53.971;0.0;528.964
2024-03-08 16:00:00;6.563;58.371;0.0;371.641
2024-03-08 17:00:00;5.721;62.657;0.0;183.403
2024-03-08 18:00:00;3.784;72.288;0.0;35.26
2024-03-08 19:00:00;3.068;73.241;0.0;17.63
2024-03-08 20:00:00;1.106;78.185;0.0;0.0
2024-03-08 21:00:00;0.56;77.591;0.0;0.0
2024-03-08 22:00:00;-0.36;82.514;0.0;0.0
2024-03-08 23:00:00;-0.117;88.892;0.0;0.0
2024-03-09 00:00:00;0.888;73.849;0.0;0.0
2024-03-09 01:00:00;1.889;72.595;0.0;0.0
2024-03-09 02:00:00;0.811;74.856;0.0;0.0
2024-03-09 03:00:00;1.025;71.465;0.0;0.0
2024-03-09 04:00:00;0.891;71.69;0.0;0.0
2024-03-09 05:00:00;0.995;72.803;0.0;0.0
2024-03-09 06:00:00;1.027;74.207;0.0;0.0
2024-03-09 07:00:00;4.476;53.65;0.0;45.125
2024-03-09 08:00:00;3.041;58.743;0.0;90.25
2024-03-09 09:00:00;3.682;54.851;0.0;121.732
2024-03-09 10:00:00;5.164;48.308;0.0;312.726
2024-03-09 11:00:00;4.359;49.154;0.004;204.846
2024-03-09 12:00:00;4.579;49.057;0.016;157.394
2024-03-09 13:00:00;4.431;62.309;0.521;102.6685
2024-03-09 14:00:00;4.523;57.712;0.39;47.943
2024-03-09 15:00:00;4.32;67.74;0.259;48.305
2024-03-09 16:00:00;4.499;67.962;0.205;18.916
2024-03-09 17:00:00;2.974;92.061;1.958;13.433
2024-03-09 18:00:00;2.486;95.239;2.434;5.877
2024-03-09 19:00:00;3.735;87.586;1.074;2.9385
2024-03-09 20:00:00;2.277;95.94;1.551;0.0
2024-03-09 21:00:00;2.187;96.079;2.027;0.0
2024-03-09 22:00:00;2.364;95.822;0.976;0.0
2024-03-09 23:00:00;2.393;96.336;0.707;0.0
2024-03-10 00:00:00;2.354;96.314;1.251;0.0
2024-03-10 01:00:00;2.499;93.247;1.31;0.0
2024-03-10 02:00:00;2.015;95.089;1.886;0.0
2024-03-10 03:00:00;1.53;96.931;2.462;0.0
2024-03-10 04:00:00;0.441;99.973;3.037;0.0
2024-03-10 05:00:00;0.259;99.885;3.407;0.0
2024-03-10 06:00:00;0.392;99.543;0.814;0.0
2024-03-10 07:00:00;0.5449999999999999;98.502;0.613;8.674999999999999
2024-03-10 08:00:00;0.698;97.461;0.412;17.349999999999998
2024-03-10 09:00:00;0.379;99.389;0.255;26.025
2024-03-10 10:00:00;0.868;99.069;0.099;56.249
2024-03-10 11:00:00;1.249;98.756;0.122;75.558
2024-03-10 12:00:00;1.412;99.005;0.25;84.793
2024-03-10 13:00:00;1.469;99.134;0.418;78.558
2024-03-10 14:00:00;1.954;94.412;0.633;74.685
2024-03-10 15:00:00;0.873;99.05;0.693;70.812
2024-03-10 16:00:00;0.544;99.044;0.754;56.378
2024-03-10 17:00:00;-0.103;96.627;0.567;36.554
2024-03-10 18:00:00;-1.16;93.557;0.342;21.949
2024-03-10 19:00:00;-1.976;92.674;0.656;5.14
2024-03-10 20:00:00;-1.707;91.249;0.644;2.57
2024-03-10 21:00:00;-2.872;92.293;0.763;0.0
2024-03-10 22:00:00;-3.03;93.096;0.881;0.0
2024-03-10 23:00:00;-3.252;92.348;1.116;0.0
2024-03-11 00:00:00;-3.857;90.7;1.044;0.0
2024-03-11 01:00:00;-4.351;89.234;0.942;0.0
2024-03-11 02:00:00;-3.716;88.541;0.72;0.0
2024-03-11 03:00:00;-4.105;81.267;0.418;0.0
2024-03-11 04:00:00;-4.032;80.314;0.117;0.0
2024-03-11 05:00:00;-3.89;78.3;0.09;0.0
2024-03-11 06:00:00;-3.882;77.816;0.072;0.0
2024-03-11 07:00:00;-3.839;76.733;0.072;0.0
2024-03-11 08:00:00;-2.782;74.205;0.047;23.9265
2024-03-11 09:00:00;-3.135;74.729;0.06;47.853
2024-03-11 10:00:00;-2.585;73.278;0.072;111.238
2024-03-11 11:00:00;-1.78;70.201;0.055;205.266
2024-03-11 12:00:00;-1.352;69.496;0.013;262.773
2024-03-11 13:00:00;-0.926;69.186;0.007;280.756
2024-03-11 14:00:00;0.388;65.583;0.004;345.94449999999995
2024-03-11 15:00:00;1.828;62.455;0.002;411.133
2024-03-11 16:00:00;2.425;61.714;0.0;541.252
2024-03-11 17:00:00;2.917;60.014;0.0;391.072
2024-03-11 18:00:00;2.645;58.214;0.0;211.059
2024-03-11 19:00:00;1.54;61.71;0.0;45.335
2024-03-11 20:00:00;1.987;50.541;0.0;22.6675
2024-03-11 21:00:00;-0.336;64.593;0.0;0.0
2024-03-11 22:00:00;-0.876;64.298;0.0;0.0
2024-03-11 23:00:00;-1.238;63.639;0.0;0.0
2024-03-12 00:00:00;-1.441;64.546;0.0;0.0
2024-03-12 01:00:00;-1.281;66.187;0.0;0.0
2024-03-12 02:00:00;1.891;48.95;0.0;0.0
2024-03-12 03:00:00;-1.146;66.469;0.0;0.0
