Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;7.272;34.533;0.0;nan
2024-03-08 14:00:00;8.188;35.738;0.0;631.23
2024-03-08 15:00:00;8.417;34.694;0.0;517.21
2024-03-08 16:00:00;8.182;34.644;0.0;362.406
2024-03-08 17:00:00;7.248;37.662;0.0;180.884
2024-03-08 18:00:00;4.869;46.025;0.0;30.223
2024-03-08 19:00:00;3.862;53.134;0.0;15.1115
2024-03-08 20:00:00;1.494;60.337;0.0;0.0
2024-03-08 21:00:00;0.725;61.542;0.0;0.0
2024-03-08 22:00:00;0.533;63.421;0.0;0.0
2024-03-08 23:00:00;0.607;66.133;0.0;0.0
2024-03-09 00:00:00;1.203;68.477;0.0;0.0
2024-03-09 01:00:00;2.12;61.365;0.0;0.0
2024-03-09 02:00:00;1.4;61.275;0.0;0.0
2024-03-09 03:00:00;1.454;63.648;0.0;0.0
2024-03-09 04:00:00;1.14;65.372;0.0;0.0
2024-03-09 05:00:00;0.908;65.586;0.0;0.0
2024-03-09 06:00:00;1.001;63.231;0.0;0.0
2024-03-09 07:00:00;4.657;47.493;0.0;55.724
2024-03-09 08:00:00;2.529;58.512;0.0;111.448
2024-03-09 09:00:00;3.972;54.597;0.0;185.327
2024-03-09 10:00:00;5.641;50.937;0.0;332.035
2024-03-09 11:00:00;6.194;51.137;0.0;347.566
2024-03-09 12:00:00;6.224;50.625;0.0;310.189
2024-03-09 13:00:00;7.684;38.859;0.0;225.9745
2024-03-09 14:00:00;5.071;71.869;0.119;141.76
2024-03-09 15:00:00;4.791;56.396;0.237;65.305
2024-03-09 16:00:00;3.942;81.382;0.256;32.349
2024-03-09 17:00:00;2.637;86.342;1.33;10.074
2024-03-09 18:00:00;2.389;89.289;1.035;0.84
2024-03-09 19:00:00;3.042;88.209;1.965;0.42
2024-03-09 20:00:00;2.255;95.156;1.508;0.0
2024-03-09 21:00:00;2.472;94.88;1.051;0.0
2024-03-09 22:00:00;2.537;94.646;1.385;0.0
2024-03-09 23:00:00;2.458;94.907;0.578;0.0
2024-03-10 00:00:00;2.462;95.23;0.441;0.0
2024-03-10 01:00:00;2.665;93.316;0.839;0.0
2024-03-10 02:00:00;2.318;94.547;1.522;0.0
2024-03-10 03:00:00;1.971;95.778;2.206;0.0
2024-03-10 04:00:00;1.931;97.068;2.889;0.0
2024-03-10 05:00:00;1.63;98.479;3.946;0.0
2024-03-10 06:00:00;0.303;99.935;5.307;0.0
2024-03-10 07:00:00;0.551;99.378;2.843;4.337666666666666
2024-03-10 08:00:00;0.799;98.821;0.379;8.675333333333333
2024-03-10 09:00:00;0.335;99.482;0.674;13.013
2024-03-10 10:00:00;0.444;99.484;0.969;34.841
2024-03-10 11:00:00;0.792;98.779;0.198;41.137
2024-03-10 12:00:00;1.494;98.106;0.017;80.595
2024-03-10 13:00:00;2.159;96.321;0.012;111.3
2024-03-10 14:00:00;2.912;92.982;0.041;109.211
2024-03-10 15:00:00;1.884;93.885;0.021;107.122
2024-03-10 16:00:00;1.368;95.009;0.0;82.613
2024-03-10 17:00:00;0.71;98.656;0.003;31.097
2024-03-10 18:00:00;0.501;99.806;0.18;9.357
2024-03-10 19:00:00;0.242;99.799;0.719;2.621
2024-03-10 20:00:00;0.045;96.46;0.352;1.3105
2024-03-10 21:00:00;-1.245;94.922;0.408;0.0
2024-03-10 22:00:00;-1.728;94.156;0.465;0.0
2024-03-10 23:00:00;-1.953;94.47;0.719;0.0
2024-03-11 00:00:00;-2.286;93.629;0.751;0.0
2024-03-11 01:00:00;-2.847;91.586;0.592;0.0
2024-03-11 02:00:00;-2.636;90.316;0.441;0.0
2024-03-11 03:00:00;-3.855;88.23;0.37;0.0
2024-03-11 04:00:00;-4.064;86.079;0.299;0.0
2024-03-11 05:00:00;-4.125;86.44;0.201;0.0
2024-03-11 06:00:00;-4.318;88.33;0.356;0.0
2024-03-11 07:00:00;-4.538;88.862;0.516;0.0
