Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.139;47.515;0.0;nan
2024-03-08 14:00:00;4.229;44.177;0.0;612.76
2024-03-08 15:00:00;3.838;43.503;0.0;501.259
2024-03-08 16:00:00;2.963;44.536;0.0;347.295
2024-03-08 17:00:00;1.456;49.56;0.0;169.97
2024-03-08 18:00:00;-0.184;53.98;0.0;26.865
2024-03-08 19:00:00;1.264;50.229;0.0;13.4325
2024-03-08 20:00:00;-2.658;63.104;0.0;0.0
2024-03-08 21:00:00;-3.463;68.091;0.0;0.0
2024-03-08 22:00:00;-3.558;72.368;0.0;0.0
2024-03-08 23:00:00;-3.504;78.308;0.0;0.0
2024-03-09 00:00:00;-3.155;82.035;0.0;0.0
2024-03-09 01:00:00;-0.728;73.517;0.0;0.0
2024-03-09 02:00:00;-3.17;82.535;0.0;0.0
2024-03-09 03:00:00;-3.26;79.628;0.0;0.0
2024-03-09 04:00:00;-3.429;79.922;0.0;0.0
2024-03-09 05:00:00;-3.349;78.983;0.0;0.0
2024-03-09 06:00:00;-3.346;78.15;0.0;0.0
2024-03-09 07:00:00;-1.824;72.973;0.0;60.551
2024-03-09 08:00:00;-1.981;72.255;0.0;121.102
2024-03-09 09:00:00;-0.093;66.68;0.0;193.722
2024-03-09 10:00:00;2.173;61.752;0.0;261.094
2024-03-09 11:00:00;4.553;58.193;0.0;337.492
2024-03-09 12:00:00;7.287;52.4;0.0;383.228
2024-03-09 13:00:00;9.005;37.729;0.0;379.819
2024-03-09 14:00:00;8.746;40.856;0.0;376.41
2024-03-09 15:00:00;7.789;45.397;0.0;197.951
2024-03-09 16:00:00;7.369;47.071;0.013;90.696
2024-03-09 17:00:00;6.653;49.61;0.0;45.335
2024-03-09 18:00:00;5.105;72.019;0.204;5.037
2024-03-09 19:00:00;3.719;89.362;0.887;2.5185
2024-03-09 20:00:00;2.186;97.346;1.77;0.0
2024-03-09 21:00:00;2.142;97.832;2.654;0.0
2024-03-09 22:00:00;2.339;98.174;2.788;0.0
2024-03-09 23:00:00;2.415;97.95;2.347;0.0
2024-03-10 00:00:00;2.1;98.712;2.815;0.0
2024-03-10 01:00:00;2.105;96.821;2.413;0.0
2024-03-10 02:00:00;1.292;98.398;2.595;0.0
2024-03-10 03:00:00;0.479;99.974;2.777;0.0
2024-03-10 04:00:00;0.087;99.835;2.959;0.0
2024-03-10 05:00:00;0.085;99.816;2.452;0.0
2024-03-10 06:00:00;0.078;99.82;4.087;0.0
2024-03-10 07:00:00;0.205;99.4935;4.343999999999999;4.337666666666666
2024-03-10 08:00:00;0.332;99.167;4.601;8.675333333333333
2024-03-10 09:00:00;0.116;99.528;3.144;13.013
2024-03-10 10:00:00;0.12;99.392;1.686;22.248
2024-03-10 11:00:00;0.117;98.502;1.37;38.618
2024-03-10 12:00:00;0.121;97.091;0.984;63.804
2024-03-10 13:00:00;0.068;97.059;0.623;85.274
2024-03-10 14:00:00;0.603;95.104;0.494;92.945
2024-03-10 15:00:00;0.239;97.251;0.42;100.616
2024-03-10 16:00:00;0.166;98.099;0.345;73.588
2024-03-10 17:00:00;0.172;98.679;0.545;26.48
2024-03-10 18:00:00;0.199;98.769;0.36;17.752
2024-03-10 19:00:00;0.262;98.162;0.093;4.3
2024-03-10 20:00:00;1.112;96.137;0.028;2.15
2024-03-10 21:00:00;0.229;97.942;0.104;0.0
2024-03-10 22:00:00;-0.341;99.321;0.18;0.0
2024-03-10 23:00:00;-2.171;97.052;0.365;0.0
2024-03-11 00:00:00;-2.43;94.297;0.015;0.0
2024-03-11 01:00:00;-2.433;93.201;0.01;0.0
2024-03-11 02:00:00;-1.486;88.264;0.019;0.0
2024-03-11 03:00:00;-2.919;91.297;0.012;0.0
2024-03-11 04:00:00;-3.274;90.207;0.004;0.0
2024-03-11 05:00:00;-3.356;88.446;0.002;0.0
2024-03-11 06:00:00;-3.289;87.915;0.006;0.0
2024-03-11 07:00:00;-3.095;87.317;0.008;0.0
2024-03-11 08:00:00;-2.098;80.315;0.001;31.7975
2024-03-11 09:00:00;-2.067;76.597;0.0;63.595
2024-03-11 10:00:00;-0.946;71.525;0.0;166.857
2024-03-11 11:00:00;-0.013;66.765;0.0;260.675
2024-03-11 12:00:00;0.829;62.717;0.0;305.59
2024-03-11 13:00:00;1.243;59.939;0.0;321.054
2024-03-11 14:00:00;1.13;60.119;0.0;270.387
2024-03-11 15:00:00;0.343;61.51;0.0;219.72
2024-03-11 16:00:00;0.38;60.1;0.0;159.685
2024-03-11 17:00:00;0.218;59.645;0.0;150.546
2024-03-11 18:00:00;-0.813;63.956;0.0;48.19
2024-03-11 19:00:00;-1.505;69.412;0.0;7.556
2024-03-11 20:00:00;-1.592;71.11;0.0;3.778
2024-03-11 21:00:00;-3.286;76.952;0.0;0.0
2024-03-11 22:00:00;-4.163;79.932;0.0;0.0
2024-03-11 23:00:00;-4.312;80.241;0.0;0.0
2024-03-12 00:00:00;-4.26;80.387;0.0;0.0
2024-03-12 01:00:00;-4.838;82.651;0.0;0.0
2024-03-12 02:00:00;-3.937;76.458;0.0;0.0
2024-03-12 03:00:00;-3.664;74.171;0.0;0.0
