Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;-0.246;72.326;0.0;nan
2024-03-08 14:00:00;-0.554;71.686;0.0;632.489
2024-03-08 15:00:00;-1.223;69.397;0.0;515.951
2024-03-08 16:00:00;-3.891;70.777;0.0;354.011
2024-03-08 17:00:00;-4.765;67.707;0.0;169.131
2024-03-08 18:00:00;-6.255;74.133;0.0;23.507
2024-03-08 19:00:00;-3.741;69.506;0.0;11.7535
2024-03-08 20:00:00;-6.225;81.69;0.0;0.0
2024-03-08 21:00:00;-5.818;81.465;0.0;0.0
2024-03-08 22:00:00;-5.106;82.975;0.0;0.0
2024-03-08 23:00:00;-5.37;86.955;0.0;0.0
2024-03-09 00:00:00;-5.85;87.984;0.0;0.0
2024-03-09 01:00:00;-4.067;79.397;0.0;0.0
2024-03-09 02:00:00;-5.166;86.293;0.0;0.0
2024-03-09 03:00:00;-5.472;86.73;0.0;0.0
2024-03-09 04:00:00;-6.033;86.54;0.0;0.0
2024-03-09 05:00:00;-6.505;86.615;0.0;0.0
2024-03-09 06:00:00;-5.78;85.829;0.0;0.0
2024-03-09 07:00:00;-3.089;79.245;0.0;67.792
2024-03-09 08:00:00;-2.917;84.661;0.0;135.584
2024-03-09 09:00:00;-1.163;82.913;0.0;269.07
2024-03-09 10:00:00;0.317;81.351;0.0;355.122
2024-03-09 11:00:00;1.232;81.551;0.0;418.926
2024-03-09 12:00:00;2.043;80.209;0.0;435.279
2024-03-09 13:00:00;3.115;70.518;0.0;466.0805
2024-03-09 14:00:00;2.913;75.582;0.0;496.882
2024-03-09 15:00:00;3.278;70.069;0.0;313.807
2024-03-09 16:00:00;2.988;68.147;0.0;191.86
2024-03-09 17:00:00;1.924;72.438;0.002;83.114
2024-03-09 18:00:00;1.055;74.232;0.0;15.951
2024-03-09 19:00:00;2.689;68.517;0.03;7.9755
2024-03-09 20:00:00;1.461;77.862;0.505;0.0
2024-03-09 21:00:00;1.864;78.486;0.981;0.0
2024-03-09 22:00:00;1.482;86.207;1.805;0.0
2024-03-09 23:00:00;1.05;90.341;1.454;0.0
2024-03-10 00:00:00;0.453;93.916;2.445;0.0
2024-03-10 01:00:00;0.332;96.083;1.887;0.0
2024-03-10 02:00:00;0.305;95.873;1.929;0.0
2024-03-10 03:00:00;0.279;95.663;1.972;0.0
2024-03-10 04:00:00;0.225;96.445;2.014;0.0
2024-03-10 05:00:00;0.279;95.919;1.618;0.0
2024-03-10 06:00:00;0.251;96.614;2.763;0.0
2024-03-10 07:00:00;0.2615;97.8445;4.7225;10.214333333333334
2024-03-10 08:00:00;0.272;99.075;6.682;20.42866666666667
2024-03-10 09:00:00;-0.044;99.02;5.058;30.643
2024-03-10 10:00:00;0.085;98.4;3.435;64.224
2024-03-10 11:00:00;0.117;98.387;4.898;94.867
2024-03-10 12:00:00;-0.022;97.968;1.567;132.646
2024-03-10 13:00:00;-0.002;98.258;1.391;134.806
2024-03-10 14:00:00;0.452;99.093;1.387;144.051
2024-03-10 15:00:00;0.043;96.075;0.969;153.296
2024-03-10 16:00:00;0.162;95.632;0.551;140.96
2024-03-10 17:00:00;0.36;94.46;0.282;118.828
2024-03-10 18:00:00;-0.167;96.278;0.281;47.975
2024-03-10 19:00:00;-0.377;99.384;0.767;5.14
2024-03-10 20:00:00;0.136;99.043;0.697;2.57
2024-03-10 21:00:00;-0.334;99.372;0.548;0.0
2024-03-10 22:00:00;-0.301;99.39;0.399;0.0
2024-03-10 23:00:00;-0.344;99.104;0.173;0.0
2024-03-11 00:00:00;-0.552;99.047;0.065;0.0
2024-03-11 01:00:00;-0.8;99.057;0.066;0.0
2024-03-11 02:00:00;-0.258;97.211;0.133;0.0
2024-03-11 03:00:00;-0.531;97.246;0.114;0.0
2024-03-11 04:00:00;-0.295;95.464;0.095;0.0
2024-03-11 05:00:00;-0.585;95.917;0.171;0.0
2024-03-11 06:00:00;-0.953;92.942;0.185;0.0
2024-03-11 07:00:00;-1.073;92.39;0.092;0.0
2024-03-11 08:00:00;-0.813;92.675;0.037;61.076
2024-03-11 09:00:00;-0.606;89.464;0.021;122.152
2024-03-11 10:00:00;-0.087;86.905;0.005;212.821
2024-03-11 11:00:00;0.426;84.289;0.004;259.415
2024-03-11 12:00:00;0.893;80.472;0.001;345.048
2024-03-11 13:00:00;1.01;77.787;0.001;504.072
2024-03-11 14:00:00;0.767;77.182;0.006;381.835
2024-03-11 15:00:00;0.809;75.206;0.003;259.598
2024-03-11 16:00:00;0.008;74.973;0.001;194.106
2024-03-11 17:00:00;-0.464;74.311;0.001;128.299
2024-03-11 18:00:00;-0.792;73.133;0.0;58.264
2024-03-11 19:00:00;-1.529;74.507;0.0;12.593
2024-03-11 20:00:00;-1.557;75.56;0.0;6.2965
2024-03-11 21:00:00;-2.097;75.523;0.0;0.0
2024-03-11 22:00:00;-2.505;75.874;0.0;0.0
2024-03-11 23:00:00;-2.697;76.159;0.0;0.0
2024-03-12 00:00:00;-2.867;76.605;0.0;0.0
2024-03-12 01:00:00;-2.954;77.048;0.0;0.0
2024-03-12 02:00:00;-2.291;73.83;0.0;0.0
2024-03-12 03:00:00;-2.628;76.016;0.0;0.0
