Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.759;44.61;0.0;nan
2024-03-08 14:00:00;5.175;44.431;0.0;615.489
2024-03-08 15:00:00;4.899;45.462;0.0;504.407
2024-03-08 16:00:00;4.018;46.058;0.0;349.813
2024-03-08 17:00:00;2.114;50.921;0.0;171.649
2024-03-08 18:00:00;-0.56;60.021;0.0;28.544
2024-03-08 19:00:00;0.541;57.838;0.0;14.272
2024-03-08 20:00:00;-3.191;73.066;0.0;0.0
2024-03-08 21:00:00;-3.53;72.403;0.0;0.0
2024-03-08 22:00:00;-3.646;74.835;0.0;0.0
2024-03-08 23:00:00;-3.852;79.346;0.0;0.0
2024-03-09 00:00:00;-3.602;81.989;0.0;0.0
2024-03-09 01:00:00;-1.14;73.794;0.0;0.0
2024-03-09 02:00:00;-2.952;79.86;0.0;0.0
2024-03-09 03:00:00;-3.039;78.498;0.0;0.0
2024-03-09 04:00:00;-3.64;78.354;0.0;0.0
2024-03-09 05:00:00;-3.913;79.121;0.0;0.0
2024-03-09 06:00:00;-4.016;80.156;0.0;0.0
2024-03-09 07:00:00;-1.684;73.065;0.0;52.6805
2024-03-09 08:00:00;-1.193;70.088;0.0;105.361
2024-03-09 09:00:00;1.49;64.213;0.0;200.228
2024-03-09 10:00:00;4.87;57.716;0.0;285.441
2024-03-09 11:00:00;6.468;52.221;0.0;398.778
2024-03-09 12:00:00;6.315;52.285;0.0;347.128
2024-03-09 13:00:00;8.678;39.966;0.0;364.4975
2024-03-09 14:00:00;7.956;44.453;0.029;381.867
2024-03-09 15:00:00;6.662;47.495;0.058;137.505
2024-03-09 16:00:00;6.541;49.907;0.008;137.29
2024-03-09 17:00:00;5.32;58.003;0.064;36.1
2024-03-09 18:00:00;3.623;83.571;0.599;4.198
2024-03-09 19:00:00;2.806;91.345;1.23;2.099
2024-03-09 20:00:00;1.414;97.669;2.104;0.0
2024-03-09 21:00:00;1.777;98.569;2.978;0.0
2024-03-09 22:00:00;2.418;98.382;2.786;0.0
2024-03-09 23:00:00;2.462;98.458;2.461;0.0
2024-03-10 00:00:00;2.099;98.55;2.886;0.0
2024-03-10 01:00:00;1.966;97.098;1.32;0.0
2024-03-10 02:00:00;1.051;98.502;2.045;0.0
2024-03-10 03:00:00;0.136;99.905;2.769;0.0
2024-03-10 04:00:00;0.081;99.835;3.494;0.0
2024-03-10 05:00:00;0.081;99.816;2.874;0.0
2024-03-10 06:00:00;0.076;99.797;5.559;0.0
2024-03-10 07:00:00;0.2219999999999999;99.5165;3.864;4.757333333333333
2024-03-10 08:00:00;0.368;99.236;2.169;9.514666666666669
2024-03-10 09:00:00;0.126;99.482;1.61;14.272
2024-03-10 10:00:00;0.121;99.231;1.051;32.742
2024-03-10 11:00:00;0.132;98.756;1.403;62.965
2024-03-10 12:00:00;0.122;98.659;0.884;85.632
2024-03-10 13:00:00;0.094;98.373;0.374;64.286
2024-03-10 14:00:00;0.806;94.665;0.139;52.8575
2024-03-10 15:00:00;0.113;97.389;0.241;41.429
2024-03-10 16:00:00;0.142;97.499;0.342;80.724
2024-03-10 17:00:00;0.216;97.48;0.301;42.431
2024-03-10 18:00:00;0.17;97.985;0.189;22.789
2024-03-10 19:00:00;0.171;97.747;0.046;6.819
2024-03-10 20:00:00;0.969;96.552;0.056;3.4095
2024-03-10 21:00:00;-2.724;97.735;0.353;0.0
2024-03-10 22:00:00;-2.242;98.145;0.649;0.0
2024-03-10 23:00:00;-1.574;94.792;0.059;0.0
2024-03-11 00:00:00;-1.794;92.729;0.004;0.0
2024-03-11 01:00:00;-1.994;91.356;0.007;0.0
2024-03-11 02:00:00;-1.179;85.243;0.009;0.0
2024-03-11 03:00:00;-2.22;85.901;0.01;0.0
2024-03-11 04:00:00;-2.128;83.289;0.01;0.0
2024-03-11 05:00:00;-2.336;80.814;0.006;0.0
2024-03-11 06:00:00;-2.345;79.268;0.007;0.0
2024-03-11 07:00:00;-2.197;78.14;0.008;0.0
