Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-1.878;75.972;nan;nan
2024-03-08 08:00:00;-1.856;75.712;nan;165.283
2024-03-08 09:00:00;0.766;66.154;0.0;349.35
2024-03-08 10:00:00;3.114;58.196;0.0;511.275
2024-03-08 11:00:00;5.024;51.175;0.0;630.488
2024-03-08 12:00:00;6.602;46.977;0.0;695.132
2024-03-08 13:00:00;7.112;40.759;0.0;668.7429999999999
2024-03-08 14:00:00;7.449;43.37;0.0;642.354
2024-03-08 15:00:00;7.51;46.108;0.0;534.211
2024-03-08 16:00:00;7.107;47.165;0.0;372.9
2024-03-08 17:00:00;6.258;50.69;0.0;181.724
2024-03-08 18:00:00;4.734;59.468;0.0;36.1
2024-03-08 19:00:00;4.272;67.569;0.0;18.05
2024-03-08 20:00:00;2.792;71.244;0.0;0.0
2024-03-08 21:00:00;2.418;72.172;0.0;0.0
2024-03-08 22:00:00;1.742;80.692;0.0;0.0
2024-03-08 23:00:00;1.833;63.989;0.0;0.0
2024-03-09 00:00:00;2.249;58.953;0.0;0.0
2024-03-09 01:00:00;2.849;62.91;0.0;0.0
2024-03-09 02:00:00;1.751;66.717;0.0;0.0
2024-03-09 03:00:00;1.404;69.298;0.0;0.0
2024-03-09 04:00:00;1.198;72.036;0.0;0.0
2024-03-09 05:00:00;1.201;72.688;0.0;0.0
2024-03-09 06:00:00;0.989;76.513;0.0;0.0
2024-03-09 07:00:00;4.44;56.97;0.0;32.007
2024-03-09 08:00:00;2.57;65.038;0.0;64.014
2024-03-09 09:00:00;4.079;53.444;0.0;137.473
2024-03-09 10:00:00;5.21;45.472;0.0;237.588
2024-03-09 11:00:00;4.705;44.012;0.009;136.844
2024-03-09 12:00:00;4.197;49.034;0.022;92.75
2024-03-09 13:00:00;5.155;42.456;0.181;59.852
2024-03-09 14:00:00;3.63;56.789;0.157;26.954
2024-03-09 15:00:00;3.751;60.8;0.133;41.589
2024-03-09 16:00:00;3.31;86.639;0.47;21.435
2024-03-09 17:00:00;2.49;93.26;2.523;11.753
2024-03-09 18:00:00;2.381;94.155;1.379;2.519
2024-03-09 19:00:00;3.835;84.819;0.369;1.2595
2024-03-09 20:00:00;2.349;93.98;0.487;0.0
2024-03-09 21:00:00;2.448;94.073;0.604;0.0
2024-03-09 22:00:00;2.575;89.296;0.13;0.0
2024-03-09 23:00:00;2.971;85.822;0.021;0.0
2024-03-10 00:00:00;2.519;94.169;0.215;0.0
2024-03-10 01:00:00;2.93;90.803;0.894;0.0
2024-03-10 02:00:00;2.414;93.083;3.551;0.0
2024-03-10 03:00:00;1.898;95.363;6.209;0.0
2024-03-10 04:00:00;0.961;98.451;8.866;0.0
2024-03-10 05:00:00;0.987;97.626;1.931;0.0
2024-03-10 06:00:00;1.069;96.638;0.272;0.0
2024-03-10 07:00:00;1.1065;95.666;0.1935;10.074333333333334
2024-03-10 08:00:00;1.144;94.694;0.115;20.148666666666667
2024-03-10 09:00:00;0.715;97.937;0.155;30.223
2024-03-10 10:00:00;0.912;98.216;0.195;59.607
2024-03-10 11:00:00;1.347;98.986;0.233;84.793
2024-03-10 12:00:00;1.87;99.098;0.395;91.509
2024-03-10 13:00:00;1.887;98.857;0.651;84.435
2024-03-10 14:00:00;2.132;93.074;0.914;84.13
2024-03-10 15:00:00;0.456;94.484;0.714;83.825
2024-03-10 16:00:00;-0.334;90.882;0.514;94.576
2024-03-10 17:00:00;-1.187;89.825;0.472;65.098
2024-03-10 18:00:00;-2.134;89.407;0.499;33.703
2024-03-10 19:00:00;-2.864;89.515;0.564;5.979
2024-03-10 20:00:00;-2.503;87.375;0.723;2.9895
2024-03-10 21:00:00;-3.561;89.249;0.791;0.0
2024-03-10 22:00:00;-3.811;90.605;0.858;0.0
2024-03-10 23:00:00;-4.124;90.25;1.166;0.0
2024-03-11 00:00:00;-4.515;89.916;1.334;0.0
2024-03-11 01:00:00;-4.838;89.396;1.392;0.0
2024-03-11 02:00:00;-4.32;89.532;1.331;0.0
2024-03-11 03:00:00;-4.879;86.57;0.949;0.0
2024-03-11 04:00:00;-4.792;84.719;0.566;0.0
2024-03-11 05:00:00;-4.612;82.151;0.387;0.0
2024-03-11 06:00:00;-4.318;76.916;0.167;0.0
2024-03-11 07:00:00;-4.173;76.065;0.076;0.0
2024-03-11 08:00:00;-3.114;74.873;0.079;13.4325
2024-03-11 09:00:00;-3.618;74.591;0.078;26.865
2024-03-11 10:00:00;-3.252;73.024;0.076;70.521
2024-03-11 11:00:00;-2.733;71.146;0.048;114.176
2024-03-11 12:00:00;-2.397;70.395;0.025;135.165
2024-03-11 13:00:00;-1.96;69.993;0.019;134.678
2024-03-11 14:00:00;-0.475;63.946;0.004;319.60450000000003
2024-03-11 15:00:00;1.493;59.411;0.002;504.531
2024-03-11 16:00:00;2.172;57.195;0.0;460.028
2024-03-11 17:00:00;2.904;51.667;0.0;398.208
2024-03-11 18:00:00;2.309;52.035;0.0;215.257
2024-03-11 19:00:00;1.325;54.424;0.0;47.014
2024-03-11 20:00:00;2.243;39.45;0.0;23.507
2024-03-11 21:00:00;0.592;50.02;0.0;0.0
2024-03-11 22:00:00;0.109;51.501;0.0;0.0
2024-03-11 23:00:00;-0.077;52.202;0.0;0.0
2024-03-12 00:00:00;-0.235;53.547;0.0;0.0
2024-03-12 01:00:00;-0.291;54.681;0.0;0.0
2024-03-12 02:00:00;2.188;41.248;0.0;0.0
2024-03-12 03:00:00;-0.816;61.051;0.0;0.0
2024-03-12 04:00:00;-0.901;62.014;0.0;0.0
2024-03-12 05:00:00;-0.956;62.79;0.0;0.0
2024-03-12 06:00:00;-1.892;67.771;0.0;0.0
2024-03-12 07:00:00;-2.413;71.452;0.0;0.0
2024-03-12 08:00:00;0.791;57.62;0.0;96.0215
2024-03-12 09:00:00;-0.551;66.553;0.0;192.043
2024-03-12 10:00:00;1.407;59.437;0.0;380.098
2024-03-12 11:00:00;3.098;50.677;0.0;543.597
2024-03-12 12:00:00;4.132;43.346;0.0;664.07
2024-03-12 13:00:00;5.28;41.364;0.0;729.269
