Variables: tmin, tmax, prcp
years: 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
17AHG05.csv, 46.02, -73.54
17AHG10.csv, 46.05, -73.41
17AHG15.csv, 46.36, -72.77
17AHG17.csv, 45.86, -73.56
17AHG25.csv, 46.06, -73.4
17ALM02.csv, 48.4, -70.99
17ALM03.csv, 48.39, -71.03
17ALM06.csv, 48.33, -71.04
17ALM08.csv, 48.64, -71.66
17ALM13.csv, 48.33, -71.04
17ALM14.csv, 48.88, -72.53
17AST06.csv, 45.62, -73.16
17AST08.csv, 45.58, -73.11
17AST09.csv, 45.52, -73.08
17AST15.csv, 45.59, -73.02
17AST22.csv, 45.51, -73.21
17BET02.csv, 45.31, -74.25
17BET03.csv, 45.27, -74.42
17BET07.csv, 45.84, -73.36
17BET11.csv, 45.98, -73.62
17BET14.csv, 45.83, -73.34
17BVG01.csv, 46.55, -71.17
17BVG02.csv, 46.39, -71.46
17BVG03.csv, 46.4, -71.48
17BVG07.csv, 46.48, -71.21
17BVG15.csv, 46.38, -71.47
17BVG16.csv, 46.58, -71.23
17COP01.csv, 46.1, -73.22
17COP09.csv, 46.67, -71.91
17COP10.csv, 46.67, -71.92
17COP13.csv, 46.67, -72.01
17COP14.csv, 46.53, -72.25
17COP16.csv, 46.06, -73.19
17DBY02.csv, 45.4, -71.55
17DBY09.csv, 46.3, -71.38
17DBY12.csv, 46.3, -71.37
17DBY14.csv, 46.29, -70.94
17DBY17.csv, 46.34, -70.91
17DBY18.csv, 46.34, -70.91
17HBV01.csv, 48.41, -71.65
17HBV05.csv, 48.41, -70.92
17HBV07.csv, 48.42, -71.74
17HBV12.csv, 48.41, -71.83
17HBV13.csv, 48.42, -71.78
17HBV14.csv, 48.4, -71.86
17JSH06.csv, 45.54, -73.13
17JSH07.csv, 45.54, -73.13
17JSH09.csv, 45.89, -73.04
17JSH12.csv, 46.05, -73.07
17JSH19.csv, 45.7, -73.1
17JSH21.csv, 45.45, -73.04
17MOI02.csv, 46.84, -71.65
17MOI04.csv, 45.79, -74.97
17MOI11.csv, 46.78, -72.04
17MOI12.csv, 46.77, -71.66
17MOI15.csv, 46.76, -71.65
17MOI16.csv, 46.85, -71.92
17NMD01.csv, 48.63, -72.47
17NMD04.csv, 48.97, -72.25
17NMD06.csv, 48.83, -72.55
17NMD07.csv, 48.86, -72.49
17NMD11.csv, 49.01, -72.24
17NMD13.csv, 48.85, -72.51
17SBR01.csv, 45.18, -74.17
17SBR02.csv, 45.17, -74.18
17SBR03.csv, 45.16, -74.19
17SBR04.csv, 45.17, -74.14
17SBR13.csv, 45.14, -74.12
17SBR14.csv, 45.12, -74.14
17SCS01.csv, 46.7, -71.41
17SCS02.csv, 46.7, -71.42
17SCS03.csv, 46.82, -71.0
17SCS06.csv, 46.83, -70.98
17SCS07.csv, 46.83, -70.99
17SCS15.csv, 46.92, -70.92
17SDM01.csv, 45.71, -72.94
17SDM02.csv, 45.7, -72.94
17SDM03.csv, 45.65, -73.02
17SDM05.csv, 45.5, -73.06
17SDM06.csv, 45.53, -73.05
17SDM19.csv, 45.55, -73.35
17SDR01.csv, 47.16, -70.25
17SDR11.csv, 48.58, -68.27
17SDR15.csv, 47.36, -69.99
17SDR16.csv, 47.35, -70.0
17SDR17.csv, 47.19, -70.23
17SDR20.csv, 47.57, -69.78
17SIB01.csv, 46.6, -70.94
17SIB04.csv, 46.68, -70.85
17SIB05.csv, 46.5, -70.64
17SIB10.csv, 46.96, -70.49
17SIB11.csv, 47.41, -69.84
17SIB15.csv, 47.49, -69.79
17SJU01.csv, 46.08, -72.33
17SJU02.csv, 46.09, -72.34
17SJU06.csv, 46.56, -71.24
17SJU09.csv, 46.08, -72.65
17SJU11.csv, 45.41, -72.87
17SJU22.csv, 46.01, -72.34
17SYT05.csv, 45.44, -73.0
17SYT11.csv, 45.58, -73.08
17SYT14.csv, 45.71, -72.95
17SYT16.csv, 45.37, -73.18
